#GBE_category,GBE_ID,N,N_GBE,N_NBW,N_AFR,N_SAS,N_EAS,N_SMR,N_OTH,N_META,GBE_NAME,GBE_short_name,GBE_short_name_len
Abdominal_MRI,INI22405,5793,4142,197,32,50,8,526,330,5277,Anterior_thigh_lean_muscle_volume_(left),Anterior thigh lean muscle volume (L),37
Abdominal_MRI,INI22407,9978,7081,309,47,96,27,911,559,9030,Visceral_adipose_tissue_volume_(VAT),Visceral adipose tissue volume (VAT),36
Anthropometry,INI12144,47922,33430,2131,253,416,105,4374,2427,43136,Height,Height,6
Anthropometry,INI20015,497177,336453,24825,6403,7699,1148,44540,28308,449376,Sitting_height,Sitting height,14
Anthropometry,INI21001,499505,336099,24795,6398,7693,1147,44505,28269,448906,Body_mass_index_(BMI),BMI,3
Anthropometry,INI21002,499821,336211,24804,6410,7800,1147,44525,28292,449189,Weight,Weight,6
Anthropometry,INI23098,492667,331454,24466,6305,7702,1141,43879,27899,442846,Weight,Weight,6
Anthropometry,INI23099,492396,331259,24454,6300,7698,1139,43863,27886,442599,Body_fat_percentage,Body fat %,10
Anthropometry,INI23100,491841,330911,24422,6294,7692,1132,43825,27839,442115,Whole_body_fat_mass,Whole body fat mass,19
Anthropometry,INI23101,492620,331427,24463,6304,7702,1141,43872,27897,442806,Whole_body_fat-free_mass,Whole body fat-free mass,24
Anthropometry,INI23102,492663,331451,24466,6305,7702,1141,43879,27898,442842,Whole_body_water_mass,Whole body water mass,21
Anthropometry,INI23104,492660,331449,24466,6305,7702,1141,43879,27898,442840,Body_mass_index_(BMI),BMI,3
Anthropometry,INI23105,492670,331443,24466,6305,7702,1141,43878,27910,442845,Basal_metabolic_rate,Basal metabolic rate,20
Anthropometry,INI23106,493014,331700,24471,6310,7704,1141,43917,27896,443139,Impedance_of_whole_body,Impedance of whole body,23
Anthropometry,INI23107,493041,331715,24475,6310,7706,1141,43918,27900,443165,Impedance_of_leg_(right),Impedance of leg (R),20
Anthropometry,INI23108,493037,331712,24474,6310,7706,1141,43918,27900,443161,Impedance_of_leg_(left),Impedance of leg (L),20
Anthropometry,INI23109,493008,331697,24473,6310,7706,1141,43917,27895,443139,Impedance_of_arm_(right),Impedance of arm (R),20
Anthropometry,INI23110,493030,331708,24474,6310,7706,1141,43917,27900,443156,Impedance_of_arm_(left),Impedance of arm (L),20
Anthropometry,INI23111,492629,331432,24463,6305,7702,1141,43876,27895,442814,Leg_fat_percentage_(right),Leg fat % (R),13
Anthropometry,INI23112,492620,331429,24463,6305,7702,1141,43874,27893,442807,Leg_fat_mass_(right),Leg fat mass (R),16
Anthropometry,INI23113,492608,331421,24461,6305,7702,1141,43873,27892,442795,Leg_fat-free_mass_(right),Leg fat-free mass (R),21
Anthropometry,INI23114,492607,331421,24461,6305,7702,1141,43873,27892,442795,Leg_predicted_mass_(right),Leg pred. mass (R),18
Anthropometry,INI23115,492597,331414,24461,6304,7702,1140,43873,27892,442786,Leg_fat_percentage_(left),Leg fat % (L),13
Anthropometry,INI23117,492574,331395,24461,6303,7702,1140,43872,27890,442763,Leg_fat-free_mass_(left),Leg fat-free mass (L),21
Anthropometry,INI23118,492568,331390,24460,6303,7702,1140,43872,27890,442757,Leg_predicted_mass_(left),Leg pred. mass (L),18
Anthropometry,INI23119,492556,331386,24458,6302,7702,1140,43870,27888,442746,Arm_fat_percentage_(right),Arm fat % (R),13
Anthropometry,INI23120,492522,331363,24456,6302,7702,1140,43865,27888,442716,Arm_fat_mass_(right),Arm fat mass (R),16
Anthropometry,INI23121,492519,331359,24458,6302,7702,1140,43865,27887,442713,Arm_fat-free_mass_(right),Arm fat-free mass (R),21
