#trait_category	trait	trait_name	family	geno	covar	geno_covar	geno_delta	n_variables	WB_test_P	is_significant_in_WB
Anthropometry	INI50	Standing height	gaussian	0.177568623875511	0.537068493869824	0.718243311706106	0.181174817836282	51209	0	TRUE
Anthropometry	INI20015	Sitting height	gaussian	0.127600041756379	0.432135699097232	0.56255094023205	0.130415241134817	36345	0	TRUE
Anthropometry	INI23102	Whole body water mass	gaussian	0.0507623414097662	0.705286479670934	0.757828989857465	0.052542510186531	35046	0	TRUE
Anthropometry	INI23129	Trunk fat-free mass	gaussian	0.0525329600259362	0.715657405679859	0.768414120412609	0.0527567147327507	34749	0	TRUE
Anthropometry	INI23101	Whole body fat-free mass	gaussian	0.0522150920068452	0.708951758900459	0.760982567200416	0.0520308082999572	34486	0	TRUE
Anthropometry	INI23130	Trunk pred. mass	gaussian	0.0515532818305585	0.722446507677747	0.773182513004887	0.0507360053271397	32685	0	TRUE
Anthropometry	INI23106	Impedance of whole body	gaussian	0.0808878222699611	0.438439256195464	0.519150526787881	0.0807112705924166	32218	0	TRUE
Anthropometry	INI23105	Basal metabolic rate	gaussian	0.059369019403928	0.629120409051701	0.689619574183145	0.0604991651314438	32154	0	TRUE
Anthropometry	INI23114	Leg pred. mass (R)	gaussian	0.048120954127705	0.659459131296009	0.709113227088157	0.0496540957921478	32103	0	TRUE
Anthropometry	INI23113	Leg fat-free mass (R)	gaussian	0.0496057065242747	0.648816860844366	0.699919363189509	0.0511025023451431	32046	0	TRUE
Anthropometry	INI21002	Weight	gaussian	0.10577857728386	0.214999075563203	0.319737969212198	0.104738893648995	31222	0	TRUE
Anthropometry	INI23118	Leg pred. mass (L)	gaussian	0.0489788213891143	0.653788141824858	0.703268002268287	0.0494798604434292	30421	0	TRUE
Anthropometry	INI23117	Leg fat-free mass (L)	gaussian	0.0506431022716106	0.642890287587141	0.693904696558936	0.051014408971795	30340	0	TRUE
Anthropometry	INI23107	Impedance of leg (R)	gaussian	0.107271731197532	0.190510614250448	0.295600202576742	0.105089588326294	30300	0	TRUE
Anthropometry	INI23109	Impedance of arm (R)	gaussian	0.0541395667998467	0.521430076138701	0.575406987495779	0.0539769113570778	30140	0	TRUE
Anthropometry	INI23128	Trunk fat mass	gaussian	0.108713553230316	0.00835904467595887	0.117097630433378	0.10873858575742	29233	0	TRUE
Anthropometry	INI23108	Impedance of leg (L)	gaussian	0.106911404106026	0.178348729811307	0.283926911491186	0.105578181679879	28999	0	TRUE
Anthropometry	INI23111	Leg fat % (R)	gaussian	0.0245396241734061	0.738492125905419	0.763658600346781	0.0251664744413619	28163	0	TRUE
Anthropometry	INI23115	Leg fat % (L)	gaussian	0.0225700482774162	0.761070765372867	0.784582084584852	0.0235113192119855	28134	0	TRUE
Anthropometry	INI23100	Whole body fat mass	gaussian	0.0989318997958428	0.0635631275663434	0.163115742543983	0.0995526149776399	27550	0	TRUE
Anthropometry	INI23099	Body fat %	gaussian	0.0528217516600356	0.457374177978088	0.51233050567683	0.0549563276987422	27396	0	TRUE
Anthropometry	INI21001	BMI	gaussian	0.110524970255154	0.0105412651015739	0.119986578379805	0.109445313278231	27126	0	TRUE
Anthropometry	INI23110	Impedance of arm (L)	gaussian	0.0556290025437826	0.528160605458492	0.583792466404534	0.055631860946042	26740	0	TRUE
Anthropometry	INI23127	Trunk fat %	gaussian	0.0750067534697317	0.191286832442274	0.267900383472121	0.0766135510298471	25651	0	TRUE
Anthropometry	INI48	Waist circumference	gaussian	0.0664995460790043	0.223716367582415	0.290318194458614	0.0666018268761993	25538	0	TRUE
Anthropometry	INI23123	Arm fat % (L)	gaussian	0.0484690327303685	0.462706774209763	0.51244131365934	0.0497345394495773	25266	0	TRUE
Blood_assays	INI30080	Platelet count	gaussian	0.209870229317942	0.0581736296647104	0.266989374064509	0.208815744399799	24893	0	TRUE
Anthropometry	INI49	Hip circumference	gaussian	0.0953644015970475	0.00103171880091382	0.096547964706971	0.0955162459060572	24605	0	TRUE
Early_life_factors	QT_FC1001697	Comparative height size at age 10	gaussian	0.146124185846449	0.00207114486388919	0.147140640823238	0.145069495959348	24144	0	TRUE
Blood_assays	INI30100	Mean platelet volume	gaussian	0.36023518482933	0.0017859710064211	0.361999835719411	0.36021386471299	24114	0	TRUE
Anthropometry	INI23119	Arm fat % (R)	gaussian	0.0464832334092234	0.45992677680176	0.508122119224911	0.0481953424231513	23943	0	TRUE
Anthropometry	INI23112	Leg fat mass (R)	gaussian	0.0615954523108747	0.31596830822994	0.378269538878401	0.0623012306484612	23565	0	TRUE
Blood_assays	INI30770	IGF-1	gaussian	0.138007777765662	0.0670552309759862	0.205904749199972	0.138849518223986	22659	0	TRUE
Blood_assays	INI30880	Urate	gaussian	0.104185698393576	0.27356592989189	0.378952267499405	0.105386337607514	18135	0	TRUE
Health_and_medical_history	BIN_FC4006150	Vascular/heart problems diagnosed by doctor High BP	binomial	0.637909132008107	0.661186829269085	0.713454867255595	0.0522680379865093	14076	0	TRUE
Disease_outcome	HC215	Hypertension	binomial	0.629077086938614	0.674286546743679	0.718794818447611	0.0445082717039326	13791	0	TRUE
Hand_grip_strength	INI46	Hand grip strength (L)	gaussian	0.0144098811845706	0.562581379897973	0.57767633336235	0.0150949534643768	13767	0	TRUE
Blood_assays	INI30200	Neutrophill %	gaussian	0.0793350384258547	0.00233693598397284	0.0817681114171273	0.0794311754331544	13703	0	TRUE
Hand_grip_strength	INI47	Hand grip strength (R)	gaussian	0.0153081410424235	0.559857130984286	0.576421058008342	0.0165639270240566	12644	0	TRUE
Lifestyle_and_environment	BIN_FC10020116	Never Smoker	binomial	0.586926807815016	0.584257624145009	0.620545367998749	0.0362877438537392	12310	0	TRUE
Blood_assays	INI30830	SHBG	gaussian	0.108886735371322	0.160685386925791	0.268732081280854	0.108046694355063	11879	0	TRUE
Blood_assays	INI30700	Creatinine	gaussian	0.0378081424060022	0.237376910013122	0.275207315581871	0.0378304055687495	11780	0	TRUE
Blood_assays	INI30610	Alkaline phosphatase	gaussian	0.152044022387543	0.028156321212107	0.179772290172689	0.151615968960582	11319	0	TRUE
Disease_outcome	HC932	TTE essential (primary hypertension)	binomial	0.608371072970355	0.69315360321616	0.723018830972737	0.0298652277565766	11276	0	TRUE
Disease_outcome	HC273	Essential hypertension	binomial	0.601479116825244	0.697358006615133	0.723219741535666	0.0258617349205329	9400	0	TRUE
Blood_assays	INI30190	Monocyte %	gaussian	0.0857376256902188	0.0421844323416407	0.127445620629621	0.0852611882879799	8762	0	TRUE
Disease_outcome	HC700	TTE disorders of lipoprotein metabolism and other lipidaemias	binomial	0.617341396534781	0.701421840928034	0.733855159452025	0.0324333185239903	7845	0	TRUE
Blood_assays	INI30620	Alanine aminotransferase	gaussian	0.0347655882555783	0.0660547771984733	0.101551628227876	0.0354968510294024	7477	0	TRUE
Health_and_medical_history	BIN_FC5006152	Hayfever rhinitis or eczema diagnosed by doctor	binomial	0.62051883053692	0.580469007286878	0.644008595926084	0.0635395886392061	7313	0	TRUE
Lifestyle_and_environment	BIN_FC1001747	Hair colour (natural, before greying) blonde	binomial	0.847539499690699	0.531478357307709	0.84931697747347	0.31783862016576	6970	0	TRUE
Health_and_medical_history	BIN_FC10006152	Hayfever allergic rhinitis or eczema	binomial	0.609883741178103	0.583507689513263	0.637087136999019	0.0535794474857554	6755	0	TRUE
Blood_assays	INI30890	Vitamin D	gaussian	0.0511077045756136	0.00876753080709114	0.059875491794181	0.0511079609870899	6421	0	TRUE
Health_and_medical_history	BIN_FC4006152	Asthma diagnosed by doctor	binomial	0.642652590443828	0.552309557311487	0.650799807094715	0.0984902497832278	6139	0	TRUE
Disease_outcome	HC269	High cholesterol	binomial	0.619717260771784	0.692635533121957	0.727681603938496	0.0350460708165395	5987	0	TRUE
Blood_assays	INI30730	Gamma glutamyltransferase	gaussian	0.0389981993964936	0.0358570098411485	0.0746041704687946	0.0387471606276461	5701	0	TRUE
Lifestyle_and_environment	BIN_FC4001747	Hair colour (natural, before greying) dark brown	binomial	0.775880428703904	0.521038327911918	0.776768966376043	0.255730638464125	5662	0	TRUE
Disease_outcome	HC643	TTE other hypothyroidism	binomial	0.689622377055084	0.693313909993193	0.766544517226651	0.0732306072334573	4739	0	TRUE
Disease_outcome	HC219	Hypothyroidism/myxoedema	binomial	0.689070474409782	0.695240734435627	0.768020338622785	0.0727796041871578	4535	0	TRUE
Lifestyle_and_environment	BIN_FC10001727	Ease of skin tanning (Get very tanned)	binomial	0.717324002084464	0.582959170004989	0.737837356667926	0.154878186662937	4130	0	TRUE
Lifestyle_and_environment	BIN_FC7001747	Hair colour (natural, before greying) brown	binomial	0.695111696281526	0.534322256167093	0.698817738157894	0.164495481990802	4024	0	TRUE
Lifestyle_and_environment	BIN_FC40001727	Ease of skin tanning (Never tan, only burn)	binomial	0.740845549203017	0.560720252716414	0.746963549649026	0.186243296932612	3159	0	TRUE
Blood_assays	INI30790	Lipoprotein A	gaussian	0.565491100601155	0.000286788701296443	0.567908499958372	0.567621711257076	2861	0	TRUE
Lifestyle_and_environment	BIN_FC20001727	Ease of skin tanning (Get moderately tanned)	binomial	0.586610449480138	0.533764881359309	0.591153994375893	0.0573891130165847	2693	0	TRUE
Lifestyle_and_environment	BIN_FC3001747	Hair colour (natural, before greying) light brown	binomial	0.634494557328661	0.527266390993236	0.637278466690998	0.110012075697762	2127	0	TRUE
Blood_assays	INI30660	Direct bilirubin	gaussian	0.202210497421786	0.050264289200418	0.264582186826789	0.21431789762637	1737	0	TRUE
Lifestyle_and_environment	BIN_FC5001747	Hair colour (natural, before greying) black	binomial	0.830538270498633	0.729390580766293	0.88608601520658	0.156695434440287	1649	0	TRUE
Lifestyle_and_environment	BIN_FC2001747	Hair colour (natural, before greying) red	binomial	0.960680270800277	0.556372576473303	0.961397342520108	0.405024766046805	1621	0	TRUE
Biomarkers	INI10030660	Direct bilirubin	gaussian	0.270868165495469	6.76797958235959e-06	0.271886643482505	0.271879875502922	1227	0	TRUE
Lifestyle_and_environment	BIN_FC30001727	Ease of skin tanning (Get mildly or occasionally tanned)	binomial	0.618362452704007	0.570783245957033	0.638184456673863	0.06740121071683	958	0	TRUE
Blood_assays	INI30840	Total bilirubin	gaussian	0.303222941211806	0.0625699143713568	0.366836191805486	0.304266277434129	458	0	TRUE
Family_history	FH1065	High BP (FH)	binomial	0.583234188442164	0.52329533818207	0.586539121208479	0.0632437830264094	13862	1.99729913164252e-305	TRUE
Disease_outcome	HC382	Asthma	binomial	0.616637645423535	0.534926002958426	0.620628357707193	0.0857023547487675	6430	1.31435979302836e-289	TRUE
Disease_outcome	HC1581	AD asthma	binomial	0.616203051942273	0.535782182329419	0.620364319713072	0.0845821373836532	6425	1.19868951187911e-285	TRUE
