l_bin	u_bin	OR	SE_LOR	l_OR	u_OR	OR_str
0	0.01	3.46197869018185	0.120374157202658	2.73438610898168	4.38317632316261	3.462 (2.734-4.383)
0.01	0.05	2.51353497378098	0.0758100342869986	2.16647722809909	2.91618946300377	2.514 (2.166-2.916)
0.05	0.1	1.93612437146223	0.0755517436166381	1.66963795708328	2.24514396421514	1.936 (1.670-2.245)
0.1	0.15	1.78981657467014	0.0770047245287889	1.53907853319924	2.0814034513918	1.790 (1.539-2.081)
0.15	0.2	1.56652942262023	0.0802877764819824	1.33843172183792	1.83349990283034	1.567 (1.338-1.833)
0.2	0.25	1.47221139214349	0.0818390005996099	1.25402851051958	1.72835494964867	1.472 (1.254-1.728)
0.25	0.3	1.35142251691842	0.0840396065565403	1.14618624789537	1.59340842082834	1.351 (1.146-1.593)
0.3	0.35	1.31084967980952	0.0849793548958728	1.10972917814459	1.54842002616322	1.311 (1.110-1.548)
0.35	0.4	0.965025462361105	0.0935883547814155	0.803294431789488	1.1593185588635	0.965 (0.803-1.159)
0.4	0.45	1.08968846363595	0.0903332518386728	0.912870424361295	1.30075519602038	1.090 (0.913-1.301)
0.45	0.5	0.978468960290857	0.093558788655821	0.814532100728519	1.17540058322609	0.978 (0.815-1.175)
0.5	0.55	0.95311194854688	0.0944862254738302	0.791982554515912	1.1470232283312	0.953 (0.792-1.147)
0.55	0.6	0.979954840151236	0.0935503064060735	0.815782592388463	1.17716594800609	0.980 (0.816-1.177)
0.6	0.65	0.746827667105066	0.103680608396332	0.60948873480467	0.915113819999223	0.747 (0.609-0.915)
0.65	0.7	0.891626867466488	0.0965334762737289	0.737924946967083	1.07734326377716	0.892 (0.738-1.077)
0.7	0.75	0.720035509299559	0.105143469817457	0.585941132720958	0.884817784074526	0.720 (0.586-0.885)
0.75	0.8	0.674686902154709	0.1078972245748	0.546082560726261	0.833578013064037	0.675 (0.546-0.834)
0.8	0.85	0.653924491713157	0.108815627893816	0.528325862953787	0.809381616246401	0.654 (0.528-0.809)
0.85	0.9	0.618914308966405	0.110573295260122	0.498320363185588	0.768692090755887	0.619 (0.498-0.769)
0.9	0.95	0.461290169258974	0.125021370234538	0.361038786260911	0.589378837821588	0.461 (0.361-0.589)
0.95	0.99	0.416861349779989	0.145229218691954	0.313595645652006	0.554132008367326	0.417 (0.314-0.554)
0.99	1	0.374724256003119	0.294900470411133	0.210226499002562	0.667938003550066	0.375 (0.210-0.668)
