#trait	split	trait_name	AUROC	other_metric	covariates
GBE_BIN_FC4006150	BIN_FC4006150_test	Vascular/heart problems diagnosed by doctor High BP	0.637909132008107		
GBE_BIN_FC4006150	BIN_FC4006150_non_british_white	Vascular/heart problems diagnosed by doctor High BP	0.634178621287781		
GBE_BIN_FC4006150	BIN_FC4006150_s_asian	Vascular/heart problems diagnosed by doctor High BP	0.611554196301467		
GBE_BIN_FC4006150	BIN_FC4006150_e_asian	Vascular/heart problems diagnosed by doctor High BP	0.619982540139677		
GBE_BIN_FC4006150	BIN_FC4006150_african	Vascular/heart problems diagnosed by doctor High BP	0.569746242418519		
GBE_BIN_FC4006150	BIN_FC4006150_test	Vascular/heart problems diagnosed by doctor High BP	0.713454867255595	Diff R2 (full-covars) = 0.0522680379865093	age, sex Genotype PCs
GBE_BIN_FC4006150	BIN_FC4006150_non_british_white	Vascular/heart problems diagnosed by doctor High BP	0.724472396044	Diff R2 (full-covars) = 0.044078260933016	age, sex Genotype PCs
GBE_BIN_FC4006150	BIN_FC4006150_s_asian	Vascular/heart problems diagnosed by doctor High BP	0.725732039277068	Diff R2 (full-covars) = 0.0265424046508195	age, sex Genotype PCs
GBE_BIN_FC4006150	BIN_FC4006150_e_asian	Vascular/heart problems diagnosed by doctor High BP	0.760331917344662	Diff R2 (full-covars) = 0.0283182734538157	age, sex Genotype PCs
GBE_BIN_FC4006150	BIN_FC4006150_african	Vascular/heart problems diagnosed by doctor High BP	0.700028603500459	Diff R2 (full-covars) = 0.00804559089672485	age, sex Genotype PCs
GBE_HC215	HC215_test	Hypertension	0.629077086938614		
GBE_HC215	HC215_non_british_white	Hypertension	0.621077481625913		
GBE_HC215	HC215_s_asian	Hypertension	0.599788001113677		
GBE_HC215	HC215_e_asian	Hypertension	0.622211567938287		
GBE_HC215	HC215_african	Hypertension	0.551740672462429		
GBE_HC215	HC215_test	Hypertension	0.718794818447611	Diff R2 (full-covars) = 0.0445082717039326	age, sex Genotype PCs
GBE_HC215	HC215_non_british_white	Hypertension	0.730636776344231	Diff R2 (full-covars) = 0.0341747424427622	age, sex Genotype PCs
GBE_HC215	HC215_s_asian	Hypertension	0.734437100448654	Diff R2 (full-covars) = 0.0205516645248873	age, sex Genotype PCs
GBE_HC215	HC215_e_asian	Hypertension	0.759551426921516	Diff R2 (full-covars) = 0.0312065560680741	age, sex Genotype PCs
GBE_HC215	HC215_african	Hypertension	0.711302426556724	Diff R2 (full-covars) = 0.0019395487363254	age, sex Genotype PCs
GBE_BIN_FC10020116	BIN_FC10020116_test	Never Smoker	0.586926807815016		
GBE_BIN_FC10020116	BIN_FC10020116_non_british_white	Never Smoker	0.576079128819294		
GBE_BIN_FC10020116	BIN_FC10020116_s_asian	Never Smoker	0.575503699437995		
GBE_BIN_FC10020116	BIN_FC10020116_e_asian	Never Smoker	0.535481089731247		
GBE_BIN_FC10020116	BIN_FC10020116_african	Never Smoker	0.510367675515362		
GBE_BIN_FC10020116	BIN_FC10020116_test	Never Smoker	0.620545367998749	Diff R2 (full-covars) = 0.0362877438537392	age, sex Genotype PCs
GBE_BIN_FC10020116	BIN_FC10020116_non_british_white	Never Smoker	0.603848997027781	Diff R2 (full-covars) = 0.0335286218489022	age, sex Genotype PCs
GBE_BIN_FC10020116	BIN_FC10020116_s_asian	Never Smoker	0.753204243371348	Diff R2 (full-covars) = 0.0188814160338551	age, sex Genotype PCs
GBE_BIN_FC10020116	BIN_FC10020116_e_asian	Never Smoker	0.717935552332174	Diff R2 (full-covars) = 0.00859402076941884	age, sex Genotype PCs
GBE_BIN_FC10020116	BIN_FC10020116_african	Never Smoker	0.659293491420612	Diff R2 (full-covars) = -0.00755817825078176	age, sex Genotype PCs
GBE_HC932	HC932_test	TTE essential (primary hypertension)	0.608371072970355		
GBE_HC932	HC932_non_british_white	TTE essential (primary hypertension)	0.600267348353236		
GBE_HC932	HC932_s_asian	TTE essential (primary hypertension)	0.569240476038328		
GBE_HC932	HC932_e_asian	TTE essential (primary hypertension)	0.590590899978041		
GBE_HC932	HC932_african	TTE essential (primary hypertension)	0.53092189665668		
GBE_HC932	HC932_test	TTE essential (primary hypertension)	0.723018830972737	Diff R2 (full-covars) = 0.0298652277565766	age, sex Genotype PCs
GBE_HC932	HC932_non_british_white	TTE essential (primary hypertension)	0.746995651637307	Diff R2 (full-covars) = 0.020298233121652	age, sex Genotype PCs
GBE_HC932	HC932_s_asian	TTE essential (primary hypertension)	0.730724938854998	Diff R2 (full-covars) = 0.00857062642442541	age, sex Genotype PCs
GBE_HC932	HC932_e_asian	TTE essential (primary hypertension)	0.751899815746514	Diff R2 (full-covars) = 0.0172558641297611	age, sex Genotype PCs
GBE_HC932	HC932_african	TTE essential (primary hypertension)	0.718651290155632	Diff R2 (full-covars) = -0.00133260011135228	age, sex Genotype PCs
GBE_HC273	HC273_test	Essential hypertension	0.601479116825244		
GBE_HC273	HC273_non_british_white	Essential hypertension	0.594737459671485		
GBE_HC273	HC273_s_asian	Essential hypertension	0.567892250939471		
GBE_HC273	HC273_e_asian	Essential hypertension	0.56971850743477		
GBE_HC273	HC273_african	Essential hypertension	0.528210872626546		
GBE_HC273	HC273_test	Essential hypertension	0.723219741535666	Diff R2 (full-covars) = 0.0258617349205329	age, sex Genotype PCs
GBE_HC273	HC273_non_british_white	Essential hypertension	0.745542792702572	Diff R2 (full-covars) = 0.016993575998135	age, sex Genotype PCs
GBE_HC273	HC273_s_asian	Essential hypertension	0.731614895173741	Diff R2 (full-covars) = 0.00692768845934411	age, sex Genotype PCs
GBE_HC273	HC273_e_asian	Essential hypertension	0.744775620900187	Diff R2 (full-covars) = 0.0135843208507538	age, sex Genotype PCs
GBE_HC273	HC273_african	Essential hypertension	0.721553205986449	Diff R2 (full-covars) = -0.00192463665516962	age, sex Genotype PCs
GBE_HC700	HC700_test	TTE disorders of lipoprotein metabolism and other lipidaemias	0.617341396534781		
GBE_HC700	HC700_non_british_white	TTE disorders of lipoprotein metabolism and other lipidaemias	0.616125131650444		
GBE_HC700	HC700_s_asian	TTE disorders of lipoprotein metabolism and other lipidaemias	0.589200490107564		
GBE_HC700	HC700_e_asian	TTE disorders of lipoprotein metabolism and other lipidaemias	0.564431036862402		
GBE_HC700	HC700_african	TTE disorders of lipoprotein metabolism and other lipidaemias	0.565802958250293		
GBE_HC700	HC700_test	TTE disorders of lipoprotein metabolism and other lipidaemias	0.733855159452025	Diff R2 (full-covars) = 0.0324333185239903	age, sex Genotype PCs
GBE_HC700	HC700_non_british_white	TTE disorders of lipoprotein metabolism and other lipidaemias	0.743282865778019	Diff R2 (full-covars) = 0.0296448005858495	age, sex Genotype PCs
GBE_HC700	HC700_s_asian	TTE disorders of lipoprotein metabolism and other lipidaemias	0.717503799722637	Diff R2 (full-covars) = 0.0173892414664381	age, sex Genotype PCs
GBE_HC700	HC700_e_asian	TTE disorders of lipoprotein metabolism and other lipidaemias	0.721082859420383	Diff R2 (full-covars) = 0.00637986834656668	age, sex Genotype PCs
GBE_HC700	HC700_african	TTE disorders of lipoprotein metabolism and other lipidaemias	0.726708125529232	Diff R2 (full-covars) = 0.0080031810527631	age, sex Genotype PCs
GBE_BIN_FC5006152	BIN_FC5006152_test	Hayfever rhinitis or eczema diagnosed by doctor	0.62051883053692		
GBE_BIN_FC5006152	BIN_FC5006152_non_british_white	Hayfever rhinitis or eczema diagnosed by doctor	0.612328650194801		
GBE_BIN_FC5006152	BIN_FC5006152_s_asian	Hayfever rhinitis or eczema diagnosed by doctor	0.592476739007448		
GBE_BIN_FC5006152	BIN_FC5006152_e_asian	Hayfever rhinitis or eczema diagnosed by doctor	0.552783048913188		
GBE_BIN_FC5006152	BIN_FC5006152_african	Hayfever rhinitis or eczema diagnosed by doctor	0.543504734987268		
GBE_BIN_FC5006152	BIN_FC5006152_test	Hayfever rhinitis or eczema diagnosed by doctor	0.644008595926084	Diff R2 (full-covars) = 0.0635395886392061	age, sex Genotype PCs
GBE_BIN_FC5006152	BIN_FC5006152_non_british_white	Hayfever rhinitis or eczema diagnosed by doctor	0.640167418822448	Diff R2 (full-covars) = 0.0493073536483631	age, sex Genotype PCs
GBE_BIN_FC5006152	BIN_FC5006152_s_asian	Hayfever rhinitis or eczema diagnosed by doctor	0.609996787117361	Diff R2 (full-covars) = 0.0502949231824791	age, sex Genotype PCs
GBE_BIN_FC5006152	BIN_FC5006152_e_asian	Hayfever rhinitis or eczema diagnosed by doctor	0.600163552642055	Diff R2 (full-covars) = 0.00724707396693125	age, sex Genotype PCs
GBE_BIN_FC5006152	BIN_FC5006152_african	Hayfever rhinitis or eczema diagnosed by doctor	0.61987543966512	Diff R2 (full-covars) = 0.00360748667264921	age, sex Genotype PCs
GBE_BIN_FC1001747	BIN_FC1001747_test	Hair colour (natural, before greying) blonde	0.847539499690699		
GBE_BIN_FC1001747	BIN_FC1001747_non_british_white	Hair colour (natural, before greying) blonde	0.864493981818629		
GBE_BIN_FC1001747	BIN_FC1001747_s_asian	Hair colour (natural, before greying) blonde	0.600361685167344		
GBE_BIN_FC1001747	BIN_FC1001747_african	Hair colour (natural, before greying) blonde	0.188457929308727		
GBE_BIN_FC1001747	BIN_FC1001747_test	Hair colour (natural, before greying) blonde	0.84931697747347	Diff R2 (full-covars) = 0.31783862016576	age, sex Genotype PCs
GBE_BIN_FC1001747	BIN_FC1001747_non_british_white	Hair colour (natural, before greying) blonde	0.862904273686098	Diff R2 (full-covars) = 0.14578475284955	age, sex Genotype PCs
GBE_BIN_FC1001747	BIN_FC1001747_s_asian	Hair colour (natural, before greying) blonde	0.722311453760213	Diff R2 (full-covars) = -0.0622479209051581	age, sex Genotype PCs
