#associated_score_name	study_stage	sample_set	n	case_n	control_n	broad_ancestral_category	country_of_recruitment	additional_ancestry_description	cohort	additional_sample_cohort_information
GBE_INI50	Score development		269136	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI50	Testing	INI50_test	67298	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI50	Testing	INI50_non_british_white	24826	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI50	Testing	INI50_s_asian	7650	NA	NA	South Asian	UK		UKB	
GBE_INI50	Testing	INI50_african	6407	NA	NA	African unspecified	UK		UKB	
GBE_INI50	Testing	INI50_e_asian	1697	NA	NA	East Asian	UK		UKB	
GBE_INI20015	Score development		269143	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI20015	Testing	INI20015_test	67301	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI20015	Testing	INI20015_non_british_white	24825	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI20015	Testing	INI20015_s_asian	7645	NA	NA	South Asian	UK		UKB	
GBE_INI20015	Testing	INI20015_african	6403	NA	NA	African unspecified	UK		UKB	
GBE_INI20015	Testing	INI20015_e_asian	1698	NA	NA	East Asian	UK		UKB	
GBE_INI23102	Score development		265179	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI23102	Testing	INI23102_test	66264	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI23102	Testing	INI23102_non_british_white	24466	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI23102	Testing	INI23102_s_asian	7649	NA	NA	South Asian	UK		UKB	
GBE_INI23102	Testing	INI23102_african	6305	NA	NA	African unspecified	UK		UKB	
GBE_INI23102	Testing	INI23102_e_asian	1680	NA	NA	East Asian	UK		UKB	
GBE_INI23129	Score development		264957	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI23129	Testing	INI23129_test	66210	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI23129	Testing	INI23129_non_british_white	24445	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI23129	Testing	INI23129_s_asian	7645	NA	NA	South Asian	UK		UKB	
GBE_INI23129	Testing	INI23129_african	6298	NA	NA	African unspecified	UK		UKB	
GBE_INI23129	Testing	INI23129_e_asian	1677	NA	NA	East Asian	UK		UKB	
GBE_INI23101	Score development		265157	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI23101	Testing	INI23101_test	66262	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI23101	Testing	INI23101_non_british_white	24463	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI23101	Testing	INI23101_s_asian	7649	NA	NA	South Asian	UK		UKB	
GBE_INI23101	Testing	INI23101_african	6304	NA	NA	African unspecified	UK		UKB	
GBE_INI23101	Testing	INI23101_e_asian	1680	NA	NA	East Asian	UK		UKB	
GBE_INI23130	Score development		264932	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
