#GBE_ID	PRS_model	phe_type	features	R_or_AUC	phe_name
INI30600	clumped_snpnet_PRS_1e-3	qt	Covariates_only	1.348810e-01	Albumin
INI30600	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	1.269736e-01	Albumin
INI30600	clumped_snpnet_PRS_1e-3	qt	Genotype_only	4.921699e-02	Albumin
INI30600	clumped_snpnet_PRS_1e-4	qt	Covariates_only	1.347917e-01	Albumin
INI30600	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	1.423814e-01	Albumin
INI30600	clumped_snpnet_PRS_1e-4	qt	Genotype_only	5.744834e-02	Albumin
INI30600	clumped_snpnet_PRS_1e-5	qt	Covariates_only	1.348215e-01	Albumin
INI30600	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	1.448731e-01	Albumin
INI30600	clumped_snpnet_PRS_1e-5	qt	Genotype_only	5.699922e-02	Albumin
INI30610	clumped_snpnet_PRS_1e-3	qt	Covariates_only	1.501561e-01	Alkaline.phosphatase
INI30610	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	3.755016e-01	Alkaline.phosphatase
INI30610	clumped_snpnet_PRS_1e-3	qt	Genotype_only	3.446175e-01	Alkaline.phosphatase
INI30610	clumped_snpnet_PRS_1e-4	qt	Covariates_only	1.501857e-01	Alkaline.phosphatase
INI30610	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	3.793675e-01	Alkaline.phosphatase
INI30610	clumped_snpnet_PRS_1e-4	qt	Genotype_only	3.486069e-01	Alkaline.phosphatase
INI30610	clumped_snpnet_PRS_1e-5	qt	Covariates_only	1.500899e-01	Alkaline.phosphatase
INI30610	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	3.758019e-01	Alkaline.phosphatase
INI30610	clumped_snpnet_PRS_1e-5	qt	Genotype_only	3.450418e-01	Alkaline.phosphatase
INI30620	clumped_snpnet_PRS_1e-3	qt	Covariates_only	2.401114e-01	Alanine.aminotransferase
INI30620	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	2.820952e-01	Alanine.aminotransferase
INI30620	clumped_snpnet_PRS_1e-3	qt	Genotype_only	1.651290e-01	Alanine.aminotransferase
INI30620	clumped_snpnet_PRS_1e-4	qt	Covariates_only	2.399362e-01	Alanine.aminotransferase
INI30620	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	2.943687e-01	Alanine.aminotransferase
INI30620	clumped_snpnet_PRS_1e-4	qt	Genotype_only	1.739587e-01	Alanine.aminotransferase
INI30620	clumped_snpnet_PRS_1e-5	qt	Covariates_only	2.399418e-01	Alanine.aminotransferase
INI30620	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	2.930368e-01	Alanine.aminotransferase
INI30620	clumped_snpnet_PRS_1e-5	qt	Genotype_only	1.689364e-01	Alanine.aminotransferase
INI30630	clumped_snpnet_PRS_1e-3	qt	Covariates_only	1.298839e-01	Apolipoprotein.A
INI30630	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	1.289395e-01	Apolipoprotein.A
INI30630	clumped_snpnet_PRS_1e-3	qt	Genotype_only	5.555662e-02	Apolipoprotein.A
INI30630	clumped_snpnet_PRS_1e-4	qt	Covariates_only	1.298401e-01	Apolipoprotein.A
INI30630	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	1.356757e-01	Apolipoprotein.A
INI30630	clumped_snpnet_PRS_1e-4	qt	Genotype_only	5.534860e-02	Apolipoprotein.A
INI30630	clumped_snpnet_PRS_1e-5	qt	Covariates_only	1.298788e-01	Apolipoprotein.A
INI30630	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	1.398745e-01	Apolipoprotein.A
INI30630	clumped_snpnet_PRS_1e-5	qt	Genotype_only	5.674939e-02	Apolipoprotein.A
INI30640	clumped_snpnet_PRS_1e-3	qt	Covariates_only	2.148074e-02	Apolipoprotein.B
INI30640	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	4.639358e-02	Apolipoprotein.B
INI30640	clumped_snpnet_PRS_1e-3	qt	Genotype_only	4.125723e-02	Apolipoprotein.B
INI30640	clumped_snpnet_PRS_1e-4	qt	Covariates_only	2.153096e-02	Apolipoprotein.B
INI30640	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	5.248539e-02	Apolipoprotein.B
INI30640	clumped_snpnet_PRS_1e-4	qt	Genotype_only	4.781998e-02	Apolipoprotein.B
INI30640	clumped_snpnet_PRS_1e-5	qt	Covariates_only	2.138281e-02	Apolipoprotein.B
INI30640	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	5.578325e-02	Apolipoprotein.B
INI30640	clumped_snpnet_PRS_1e-5	qt	Genotype_only	5.166611e-02	Apolipoprotein.B
INI30650	clumped_snpnet_PRS_1e-3	qt	Covariates_only	1.476324e-01	Aspartate.aminotransferase
INI30650	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	1.965221e-01	Aspartate.aminotransferase
INI30650	clumped_snpnet_PRS_1e-3	qt	Genotype_only	1.412975e-01	Aspartate.aminotransferase
INI30650	clumped_snpnet_PRS_1e-4	qt	Covariates_only	1.476255e-01	Aspartate.aminotransferase
INI30650	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	2.099717e-01	Aspartate.aminotransferase
INI30650	clumped_snpnet_PRS_1e-4	qt	Genotype_only	1.527389e-01	Aspartate.aminotransferase
INI30650	clumped_snpnet_PRS_1e-5	qt	Covariates_only	1.476874e-01	Aspartate.aminotransferase
INI30650	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	2.116173e-01	Aspartate.aminotransferase
INI30650	clumped_snpnet_PRS_1e-5	qt	Genotype_only	1.536435e-01	Aspartate.aminotransferase
INI30660	clumped_snpnet_PRS_1e-3	qt	Covariates_only	1.593951e-01	Direct.bilirubin
INI30660	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	3.019108e-01	Direct.bilirubin
INI30660	clumped_snpnet_PRS_1e-3	qt	Genotype_only	2.527002e-01	Direct.bilirubin
INI30660	clumped_snpnet_PRS_1e-4	qt	Covariates_only	1.594087e-01	Direct.bilirubin
INI30660	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	3.134699e-01	Direct.bilirubin
INI30660	clumped_snpnet_PRS_1e-4	qt	Genotype_only	2.650123e-01	Direct.bilirubin
INI30660	clumped_snpnet_PRS_1e-5	qt	Covariates_only	1.594384e-01	Direct.bilirubin
INI30660	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	3.128356e-01	Direct.bilirubin
INI30660	clumped_snpnet_PRS_1e-5	qt	Genotype_only	2.641032e-01	Direct.bilirubin
INI30670	clumped_snpnet_PRS_1e-3	qt	Covariates_only	1.554220e-01	Urea
INI30670	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	1.790310e-01	Urea
INI30670	clumped_snpnet_PRS_1e-3	qt	Genotype_only	1.123961e-01	Urea
INI30670	clumped_snpnet_PRS_1e-4	qt	Covariates_only	1.554421e-01	Urea
INI30670	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	1.936231e-01	Urea
INI30670	clumped_snpnet_PRS_1e-4	qt	Genotype_only	1.217332e-01	Urea
INI30670	clumped_snpnet_PRS_1e-5	qt	Covariates_only	1.554650e-01	Urea
INI30670	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	1.954293e-01	Urea
INI30670	clumped_snpnet_PRS_1e-5	qt	Genotype_only	1.203612e-01	Urea
INI30680	clumped_snpnet_PRS_1e-3	qt	Covariates_only	9.097782e-02	Calcium
INI30680	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	8.572166e-02	Calcium
INI30680	clumped_snpnet_PRS_1e-3	qt	Genotype_only	1.516486e-02	Calcium
INI30680	clumped_snpnet_PRS_1e-4	qt	Covariates_only	9.099219e-02	Calcium
INI30680	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	9.100101e-02	Calcium
INI30680	clumped_snpnet_PRS_1e-4	qt	Genotype_only	1.606343e-02	Calcium
INI30680	clumped_snpnet_PRS_1e-5	qt	Covariates_only	9.100760e-02	Calcium
INI30680	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	9.030663e-02	Calcium
INI30680	clumped_snpnet_PRS_1e-5	qt	Genotype_only	1.131026e-02	Calcium
INI30690	clumped_snpnet_PRS_1e-3	qt	Covariates_only	1.132292e-01	Cholesterol
INI30690	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	2.060393e-01	Cholesterol
INI30690	clumped_snpnet_PRS_1e-3	qt	Genotype_only	1.757889e-01	Cholesterol
INI30690	clumped_snpnet_PRS_1e-4	qt	Covariates_only	1.132660e-01	Cholesterol
INI30690	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	2.178088e-01	Cholesterol
INI30690	clumped_snpnet_PRS_1e-4	qt	Genotype_only	1.873902e-01	Cholesterol
INI30690	clumped_snpnet_PRS_1e-5	qt	Covariates_only	1.133054e-01	Cholesterol
INI30690	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	2.206683e-01	Cholesterol
INI30690	clumped_snpnet_PRS_1e-5	qt	Genotype_only	1.900293e-01	Cholesterol
INI30700	clumped_snpnet_PRS_1e-3	qt	Covariates_only	4.101335e-01	Creatinine
INI30700	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	4.356225e-01	Creatinine
INI30700	clumped_snpnet_PRS_1e-3	qt	Genotype_only	1.658318e-01	Creatinine
INI30700	clumped_snpnet_PRS_1e-4	qt	Covariates_only	4.101811e-01	Creatinine
INI30700	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	4.402722e-01	Creatinine
INI30700	clumped_snpnet_PRS_1e-4	qt	Genotype_only	1.668727e-01	Creatinine
INI30700	clumped_snpnet_PRS_1e-5	qt	Covariates_only	4.101503e-01	Creatinine
INI30700	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	4.396324e-01	Creatinine
INI30700	clumped_snpnet_PRS_1e-5	qt	Genotype_only	1.610311e-01	Creatinine
INI30710	clumped_snpnet_PRS_1e-3	qt	Covariates_only	5.484020e-02	C.reactive.protein
INI30710	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	1.534594e-01	C.reactive.protein
INI30710	clumped_snpnet_PRS_1e-3	qt	Genotype_only	1.438086e-01	C.reactive.protein
INI30710	clumped_snpnet_PRS_1e-4	qt	Covariates_only	5.506133e-02	C.reactive.protein
INI30710	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	1.677957e-01	C.reactive.protein
INI30710	clumped_snpnet_PRS_1e-4	qt	Genotype_only	1.582624e-01	C.reactive.protein
INI30710	clumped_snpnet_PRS_1e-5	qt	Covariates_only	5.510034e-02	C.reactive.protein
INI30710	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	1.696981e-01	C.reactive.protein
INI30710	clumped_snpnet_PRS_1e-5	qt	Genotype_only	1.602916e-01	C.reactive.protein
INI30720	clumped_snpnet_PRS_1e-3	qt	Covariates_only	1.315031e-02	Cystatin.C
INI30720	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	3.539537e-02	Cystatin.C
INI30720	clumped_snpnet_PRS_1e-3	qt	Genotype_only	3.332857e-02	Cystatin.C
INI30720	clumped_snpnet_PRS_1e-4	qt	Covariates_only	1.242201e-02	Cystatin.C
INI30720	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	4.135167e-02	Cystatin.C
INI30720	clumped_snpnet_PRS_1e-4	qt	Genotype_only	3.963473e-02	Cystatin.C
INI30720	clumped_snpnet_PRS_1e-5	qt	Covariates_only	1.283362e-02	Cystatin.C
INI30720	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	4.224510e-02	Cystatin.C
INI30720	clumped_snpnet_PRS_1e-5	qt	Genotype_only	4.031801e-02	Cystatin.C
INI30730	clumped_snpnet_PRS_1e-3	qt	Covariates_only	1.808886e-01	Gamma.glutamyltransferase
INI30730	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	2.572574e-01	Gamma.glutamyltransferase
INI30730	clumped_snpnet_PRS_1e-3	qt	Genotype_only	1.895520e-01	Gamma.glutamyltransferase
INI30730	clumped_snpnet_PRS_1e-4	qt	Covariates_only	1.811100e-01	Gamma.glutamyltransferase
INI30730	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	2.634213e-01	Gamma.glutamyltransferase
INI30730	clumped_snpnet_PRS_1e-4	qt	Genotype_only	1.941132e-01	Gamma.glutamyltransferase
INI30730	clumped_snpnet_PRS_1e-5	qt	Covariates_only	1.811613e-01	Gamma.glutamyltransferase
INI30730	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	2.620946e-01	Gamma.glutamyltransferase
INI30730	clumped_snpnet_PRS_1e-5	qt	Genotype_only	1.912771e-01	Gamma.glutamyltransferase
INI30740	clumped_snpnet_PRS_1e-3	qt	Covariates_only	2.779020e-02	Glucose
INI30740	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	3.192660e-02	Glucose
INI30740	clumped_snpnet_PRS_1e-3	qt	Genotype_only	2.697411e-02	Glucose
INI30740	clumped_snpnet_PRS_1e-4	qt	Covariates_only	2.818399e-02	Glucose
INI30740	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	4.536575e-02	Glucose
INI30740	clumped_snpnet_PRS_1e-4	qt	Genotype_only	3.871888e-02	Glucose
INI30740	clumped_snpnet_PRS_1e-5	qt	Covariates_only	2.809746e-02	Glucose
INI30740	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	5.337012e-02	Glucose
