#GBE_ID	PRS_model	phe_type	features	R_or_AUC	phe_name	N
HC276	snpnet_PRS	bin	covars	6.804860e-01	glaucoma	5863
HC276	snpnet_PRS	bin	PRS	5.756537e-01	glaucoma	5863
HC276	snpnet_PRS	bin	PRS_and_covars	6.804864e-01	glaucoma	5863
HC281	snpnet_PRS	bin	covars	7.298999e-01	atrial_fibrillation	12665
HC281	snpnet_PRS	bin	PRS	6.206305e-01	atrial_fibrillation	12665
HC281	snpnet_PRS	bin	PRS_and_covars	7.298995e-01	atrial_fibrillation	12665
HC326	snpnet_PRS	bin	covars	7.549526e-01	heart_attack/myocardial_infarction	12138
HC326	snpnet_PRS	bin	PRS	5.618202e-01	heart_attack/myocardial_infarction	12138
HC326	snpnet_PRS	bin	PRS_and_covars	7.549519e-01	heart_attack/myocardial_infarction	12138
HC382	snpnet_PRS	bin	covars	5.291412e-01	asthma	43626
HC382	snpnet_PRS	bin	PRS	6.160595e-01	asthma	43626
HC382	snpnet_PRS	bin	PRS_and_covars	5.291434e-01	asthma	43626
