#GBE_ID	PRS_model	phe_type	features	R_or_AUC	phe_name
INI30600	snpnet_PRS	qt	Covariates_only	1.349463e-01	Albumin
INI30600	snpnet_PRS	qt	Genotype_and_covariates	1.494256e-01	Albumin
INI30600	snpnet_PRS	qt	Genotype_only	8.642264e-02	Albumin
INI30620	snpnet_PRS	qt	Covariates_only	2.398967e-01	Alanine.aminotransferase
INI30620	snpnet_PRS	qt	Genotype_and_covariates	3.408383e-01	Alanine.aminotransferase
INI30620	snpnet_PRS	qt	Genotype_only	2.557504e-01	Alanine.aminotransferase
INI30630	snpnet_PRS	qt	Covariates_only	1.305874e-01	Apolipoprotein.A
INI30630	snpnet_PRS	qt	Genotype_and_covariates	1.457136e-01	Apolipoprotein.A
INI30630	snpnet_PRS	qt	Genotype_only	7.667104e-02	Apolipoprotein.A
INI30640	snpnet_PRS	qt	Covariates_only	2.259982e-02	Apolipoprotein.B
INI30640	snpnet_PRS	qt	Genotype_and_covariates	7.146780e-02	Apolipoprotein.B
INI30640	snpnet_PRS	qt	Genotype_only	7.139932e-02	Apolipoprotein.B
INI30650	snpnet_PRS	qt	Covariates_only	1.478495e-01	Aspartate.aminotransferase
INI30650	snpnet_PRS	qt	Genotype_and_covariates	2.577615e-01	Aspartate.aminotransferase
INI30650	snpnet_PRS	qt	Genotype_only	2.222678e-01	Aspartate.aminotransferase
INI30660	snpnet_PRS	qt	Covariates_only	1.596011e-01	Direct.bilirubin
INI30660	snpnet_PRS	qt	Genotype_and_covariates	3.438095e-01	Direct.bilirubin
INI30660	snpnet_PRS	qt	Genotype_only	2.999316e-01	Direct.bilirubin
INI30670	snpnet_PRS	qt	Covariates_only	1.553221e-01	Urea
INI30670	snpnet_PRS	qt	Genotype_and_covariates	2.582719e-01	Urea
INI30670	snpnet_PRS	qt	Genotype_only	2.258518e-01	Urea
INI30680	snpnet_PRS	qt	Covariates_only	9.146355e-02	Calcium
INI30680	snpnet_PRS	qt	Genotype_and_covariates	9.456137e-02	Calcium
INI30680	snpnet_PRS	qt	Genotype_only	4.174776e-02	Calcium
INI30690	snpnet_PRS	qt	Covariates_only	1.141130e-01	Cholesterol
INI30690	snpnet_PRS	qt	Genotype_and_covariates	2.573613e-01	Cholesterol
INI30690	snpnet_PRS	qt	Genotype_only	2.351655e-01	Cholesterol
INI30700	snpnet_PRS	qt	Covariates_only	4.102780e-01	Creatinine
INI30700	snpnet_PRS	qt	Genotype_and_covariates	4.803013e-01	Creatinine
INI30700	snpnet_PRS	qt	Genotype_only	2.798131e-01	Creatinine
INI30710	snpnet_PRS	qt	Covariates_only	5.565505e-02	C.reactive.protein
INI30710	snpnet_PRS	qt	Genotype_and_covariates	2.084622e-01	C.reactive.protein
INI30710	snpnet_PRS	qt	Genotype_only	2.032240e-01	C.reactive.protein
INI30720	snpnet_PRS	qt	Covariates_only	1.426991e-02	Cystatin.C
INI30720	snpnet_PRS	qt	Genotype_and_covariates	3.697384e-02	Cystatin.C
INI30720	snpnet_PRS	qt	Genotype_only	3.518964e-02	Cystatin.C
INI30730	snpnet_PRS	qt	Covariates_only	1.818255e-01	Gamma.glutamyltransferase
INI30730	snpnet_PRS	qt	Genotype_and_covariates	3.212525e-01	Gamma.glutamyltransferase
INI30730	snpnet_PRS	qt	Genotype_only	2.722519e-01	Gamma.glutamyltransferase
INI30740	snpnet_PRS	qt	Covariates_only	2.869622e-02	Glucose
INI30740	snpnet_PRS	qt	Genotype_and_covariates	5.380082e-02	Glucose
INI30740	snpnet_PRS	qt	Genotype_only	5.519656e-02	Glucose
INI30750	snpnet_PRS	qt	Covariates_only	1.335799e-01	Glycated.haemoglobin..HbA1c.
INI30750	snpnet_PRS	qt	Genotype_and_covariates	3.103917e-01	Glycated.haemoglobin..HbA1c.
INI30750	snpnet_PRS	qt	Genotype_only	2.878408e-01	Glycated.haemoglobin..HbA1c.
INI30760	snpnet_PRS	qt	Covariates_only	1.591288e-01	HDL.cholesterol
INI30760	snpnet_PRS	qt	Genotype_and_covariates	1.959809e-01	HDL.cholesterol
INI30760	snpnet_PRS	qt	Genotype_only	1.281430e-01	HDL.cholesterol
INI30780	snpnet_PRS	qt	Covariates_only	5.810297e-02	LDL.direct
INI30780	snpnet_PRS	qt	Genotype_and_covariates	2.037418e-01	LDL.direct
INI30780	snpnet_PRS	qt	Genotype_only	1.973056e-01	LDL.direct
INI30790	snpnet_PRS	qt	Covariates_only	4.165649e-02	Lipoprotein.A
INI30790	snpnet_PRS	qt	Genotype_and_covariates	6.682822e-01	Lipoprotein.A
INI30790	snpnet_PRS	qt	Genotype_only	6.662972e-01	Lipoprotein.A
INI30800	snpnet_PRS	qt	Covariates_only	5.558913e-01	Oestradiol
INI30800	snpnet_PRS	qt	Genotype_and_covariates	5.623342e-01	Oestradiol
INI30800	snpnet_PRS	qt	Genotype_only	1.177149e-01	Oestradiol
INI30810	snpnet_PRS	qt	Covariates_only	1.160039e-01	Phosphate
INI30810	snpnet_PRS	qt	Genotype_and_covariates	1.278453e-01	Phosphate
INI30810	snpnet_PRS	qt	Genotype_only	7.241072e-02	Phosphate
INI30820	snpnet_PRS	qt	Covariates_only	2.265057e-01	Rheumatoid.factor
INI30820	snpnet_PRS	qt	Genotype_and_covariates	2.862383e-01	Rheumatoid.factor
INI30820	snpnet_PRS	qt	Genotype_only	2.059214e-01	Rheumatoid.factor
INI30830	snpnet_PRS	qt	Covariates_only	3.937749e-01	SHBG
INI30830	snpnet_PRS	qt	Genotype_and_covariates	5.535521e-01	SHBG
INI30830	snpnet_PRS	qt	Genotype_only	4.031017e-01	SHBG
INI30850	snpnet_PRS	qt	Covariates_only	8.532801e-01	Testosterone
INI30850	snpnet_PRS	qt	Genotype_and_covariates	8.627949e-01	Testosterone
INI30850	snpnet_PRS	qt	Genotype_only	1.285118e-01	Testosterone
INI30860	snpnet_PRS	qt	Covariates_only	1.170533e-01	Total.protein
INI30860	snpnet_PRS	qt	Genotype_and_covariates	1.429557e-01	Total.protein
INI30860	snpnet_PRS	qt	Genotype_only	9.899139e-02	Total.protein
INI30870	snpnet_PRS	qt	Covariates_only	1.296422e-01	Triglycerides
INI30870	snpnet_PRS	qt	Genotype_and_covariates	2.954730e-01	Triglycerides
INI30870	snpnet_PRS	qt	Genotype_only	2.732921e-01	Triglycerides
INI30880	snpnet_PRS	qt	Covariates_only	4.810504e-01	Urate
INI30880	snpnet_PRS	qt	Genotype_and_covariates	5.992832e-01	Urate
INI30880	snpnet_PRS	qt	Genotype_only	3.650371e-01	Urate
INI30890	snpnet_PRS	qt	Covariates_only	6.178672e-02	Vitamin.D
INI30890	snpnet_PRS	qt	Genotype_and_covariates	2.840458e-01	Vitamin.D
INI30890	snpnet_PRS	qt	Genotype_only	2.786321e-01	Vitamin.D
