#GBE_ID	PRS_model	phe_type	features	R_or_AUC	phe_name
INI30600	snpnet_PRS	qt	Covariates_only	1.310207e-01	Albumin
INI30600	snpnet_PRS	qt	Genotype_and_covariates	1.310199e-01	Albumin
INI30600	snpnet_PRS	qt	Genotype_only	1.473283e-02	Albumin
INI30610	snpnet_PRS	qt	Covariates_only	9.387918e-02	Alkaline.phosphatase
INI30610	snpnet_PRS	qt	Genotype_and_covariates	1.396783e-01	Alkaline.phosphatase
INI30610	snpnet_PRS	qt	Genotype_only	1.383491e-01	Alkaline.phosphatase
INI30620	snpnet_PRS	qt	Covariates_only	2.724960e-01	Alanine.aminotransferase
INI30620	snpnet_PRS	qt	Genotype_and_covariates	2.669594e-01	Alanine.aminotransferase
INI30620	snpnet_PRS	qt	Genotype_only	1.581310e-02	Alanine.aminotransferase
INI30630	snpnet_PRS	qt	Covariates_only	9.144449e-02	Apolipoprotein.A
INI30630	snpnet_PRS	qt	Genotype_and_covariates	8.072257e-02	Apolipoprotein.A
INI30630	snpnet_PRS	qt	Genotype_only	1.843382e-02	Apolipoprotein.A
INI30640	snpnet_PRS	qt	Covariates_only	4.958059e-03	Apolipoprotein.B
INI30640	snpnet_PRS	qt	Genotype_and_covariates	4.958059e-03	Apolipoprotein.B
INI30640	snpnet_PRS	qt	Genotype_only	3.748321e-18	Apolipoprotein.B
INI30650	snpnet_PRS	qt	Covariates_only	2.205309e-01	Aspartate.aminotransferase
INI30650	snpnet_PRS	qt	Genotype_and_covariates	1.990405e-01	Aspartate.aminotransferase
INI30650	snpnet_PRS	qt	Genotype_only	1.596135e-02	Aspartate.aminotransferase
INI30660	snpnet_PRS	qt	Covariates_only	2.088409e-01	Direct.bilirubin
INI30660	snpnet_PRS	qt	Genotype_and_covariates	3.460666e-01	Direct.bilirubin
INI30660	snpnet_PRS	qt	Genotype_only	2.948081e-01	Direct.bilirubin
INI30670	snpnet_PRS	qt	Covariates_only	1.515870e-01	Urea
INI30670	snpnet_PRS	qt	Genotype_and_covariates	1.494391e-01	Urea
INI30670	snpnet_PRS	qt	Genotype_only	1.042036e-02	Urea
INI30680	snpnet_PRS	qt	Covariates_only	6.447728e-02	Calcium
INI30680	snpnet_PRS	qt	Genotype_and_covariates	6.447728e-02	Calcium
INI30680	snpnet_PRS	qt	Genotype_only	nan	Calcium
INI30690	snpnet_PRS	qt	Covariates_only	1.138439e-01	Cholesterol
INI30690	snpnet_PRS	qt	Genotype_and_covariates	1.487716e-01	Cholesterol
INI30690	snpnet_PRS	qt	Genotype_only	9.852024e-02	Cholesterol
INI30700	snpnet_PRS	qt	Covariates_only	3.770179e-01	Creatinine
INI30700	snpnet_PRS	qt	Genotype_and_covariates	3.776309e-01	Creatinine
