#GBE_ID	PRS_model	phe_type	features	R_or_AUC	phe_name	N
cancer1001	snpnet_PRS	bin	Covariates_only	7.051802e-01	lung_cancer	1981
cancer1001	snpnet_PRS	bin	Genotype_and_covariates	7.057319e-01	lung_cancer	1981
cancer1001	snpnet_PRS	bin	Genotype_only	5.229068e-01	lung_cancer	1981
cancer1002	snpnet_PRS	bin	Covariates_only	7.998432e-01	breast_cancer	11243
cancer1002	snpnet_PRS	bin	Genotype_and_covariates	8.167989e-01	breast_cancer	11243
cancer1002	snpnet_PRS	bin	Genotype_only	5.902129e-01	breast_cancer	11243
cancer1003	snpnet_PRS	bin	Covariates_only	6.473527e-01	skin_cancer	19170
cancer1003	snpnet_PRS	bin	Genotype_and_covariates	6.867887e-01	skin_cancer	19170
cancer1003	snpnet_PRS	bin	Genotype_only	6.157386e-01	skin_cancer	19170
cancer1004	snpnet_PRS	bin	Covariates_only	6.551562e-01	cancer_of_lip/mouth/pharynx/oral_cavity	659
cancer1004	snpnet_PRS	bin	Genotype_and_covariates	6.551562e-01	cancer_of_lip/mouth/pharynx/oral_cavity	659
cancer1004	snpnet_PRS	bin	Genotype_only	5.190978e-01	cancer_of_lip/mouth/pharynx/oral_cavity	659
cancer1005	snpnet_PRS	bin	Covariates_only	5.740346e-01	salivary_gland_cancer	121
cancer1005	snpnet_PRS	bin	Genotype_and_covariates	5.652695e-01	salivary_gland_cancer	121
cancer1005	snpnet_PRS	bin	Genotype_only	5.347800e-01	salivary_gland_cancer	121
cancer1006	snpnet_PRS	bin	Covariates_only	8.078432e-01	larynx/throat_cancer	362
cancer1006	snpnet_PRS	bin	Genotype_and_covariates	8.106182e-01	larynx/throat_cancer	362
cancer1006	snpnet_PRS	bin	Genotype_only	5.430411e-01	larynx/throat_cancer	362
cancer1011	snpnet_PRS	bin	Covariates_only	6.568671e-01	tongue_cancer	317
cancer1011	snpnet_PRS	bin	Genotype_and_covariates	6.436930e-01	tongue_cancer	317
cancer1011	snpnet_PRS	bin	Genotype_only	5.946163e-01	tongue_cancer	317
cancer1015	snpnet_PRS	bin	Covariates_only	5.637796e-01	parotid_gland_cancer	127
cancer1015	snpnet_PRS	bin	Genotype_and_covariates	5.216529e-01	parotid_gland_cancer	127
cancer1015	snpnet_PRS	bin	Genotype_only	5.439760e-01	parotid_gland_cancer	127
cancer1017	snpnet_PRS	bin	Covariates_only	7.692838e-01	oesophageal_cancer	667
cancer1017	snpnet_PRS	bin	Genotype_and_covariates	7.668672e-01	oesophageal_cancer	667
cancer1017	snpnet_PRS	bin	Genotype_only	5.163919e-01	oesophageal_cancer	667
cancer1018	snpnet_PRS	bin	Covariates_only	7.571100e-01	stomach_cancer	568
cancer1018	snpnet_PRS	bin	Genotype_and_covariates	7.564981e-01	stomach_cancer	568
cancer1018	snpnet_PRS	bin	Genotype_only	5.341109e-01	stomach_cancer	568
cancer1019	snpnet_PRS	bin	Covariates_only	6.532515e-01	small_intestine/small_bowel_cancer	329
cancer1019	snpnet_PRS	bin	Genotype_and_covariates	6.336237e-01	small_intestine/small_bowel_cancer	329
cancer1019	snpnet_PRS	bin	Genotype_only	5.079559e-01	small_intestine/small_bowel_cancer	329
cancer1020	snpnet_PRS	bin	Covariates_only	6.849862e-01	large_bowel_cancer/colorectal_cancer	4382
cancer1020	snpnet_PRS	bin	Genotype_and_covariates	6.888996e-01	large_bowel_cancer/colorectal_cancer	4382
cancer1020	snpnet_PRS	bin	Genotype_only	5.490780e-01	large_bowel_cancer/colorectal_cancer	4382
cancer1022	snpnet_PRS	bin	Covariates_only	6.916376e-01	colon_cancer/sigmoid_cancer	3251
cancer1022	snpnet_PRS	bin	Genotype_and_covariates	6.933844e-01	colon_cancer/sigmoid_cancer	3251
cancer1022	snpnet_PRS	bin	Genotype_only	5.324778e-01	colon_cancer/sigmoid_cancer	3251
cancer1023	snpnet_PRS	bin	Covariates_only	6.738540e-01	rectal_cancer	2026
cancer1023	snpnet_PRS	bin	Genotype_and_covariates	6.745183e-01	rectal_cancer	2026
cancer1023	snpnet_PRS	bin	Genotype_only	5.473436e-01	rectal_cancer	2026
