#Population	GBE_ID	PRS_model	phe_type	features	R_or_AUC
african	Alanine_aminotransferase	snpnet	qt	Covariates_only	3.278933e-01
african	Alanine_aminotransferase	snpnet	qt	Genotype_and_covariates	3.292302e-01
african	Alanine_aminotransferase	snpnet	qt	Genotype_only	5.946176e-02
african	Alanine_aminotransferase_adjstatins	snpnet	qt	Covariates_only	3.300784e-01
african	Alanine_aminotransferase_adjstatins	snpnet	qt	Genotype_and_covariates	3.311427e-01
african	Alanine_aminotransferase_adjstatins	snpnet	qt	Genotype_only	5.760974e-02
african	Albumin	snpnet	qt	Covariates_only	2.559926e-01
african	Albumin	snpnet	qt	Genotype_and_covariates	2.800733e-01
african	Albumin	snpnet	qt	Genotype_only	1.164659e-01
african	Albumin_adjstatins	snpnet	qt	Covariates_only	2.599706e-01
african	Albumin_adjstatins	snpnet	qt	Genotype_and_covariates	2.855742e-01
african	Albumin_adjstatins	snpnet	qt	Genotype_only	1.183656e-01
african	Alkaline_phosphatase	snpnet	qt	Covariates_only	1.778803e-01
african	Alkaline_phosphatase	snpnet	qt	Genotype_and_covariates	2.495393e-01
african	Alkaline_phosphatase	snpnet	qt	Genotype_only	1.737178e-01
african	Apolipoprotein_A	snpnet	qt	Covariates_only	3.007404e-01
african	Apolipoprotein_A	snpnet	qt	Genotype_and_covariates	3.548795e-01
african	Apolipoprotein_A	snpnet	qt	Genotype_only	1.869331e-01
african	Apolipoprotein_A_adjstatins	snpnet	qt	Covariates_only	2.888526e-01
african	Apolipoprotein_A_adjstatins	snpnet	qt	Genotype_and_covariates	3.432708e-01
african	Apolipoprotein_A_adjstatins	snpnet	qt	Genotype_only	1.832639e-01
african	Apolipoprotein_B	snpnet	qt	Covariates_only	1.389181e-01
african	Apolipoprotein_B	snpnet	qt	Genotype_and_covariates	2.983184e-01
african	Apolipoprotein_B	snpnet	qt	Genotype_only	2.704021e-01
african	Apolipoprotein_B_adjstatins	snpnet	qt	Covariates_only	1.966286e-01
african	Apolipoprotein_B_adjstatins	snpnet	qt	Genotype_and_covariates	3.612458e-01
african	Apolipoprotein_B_adjstatins	snpnet	qt	Genotype_only	3.047349e-01
african	Aspartate_aminotransferase	snpnet	qt	Covariates_only	1.735492e-01
african	Aspartate_aminotransferase	snpnet	qt	Genotype_and_covariates	1.798211e-01
african	Aspartate_aminotransferase	snpnet	qt	Genotype_only	4.883832e-02
african	Aspartate_aminotransferase_adjstatins	snpnet	qt	Covariates_only	1.713475e-01
african	Aspartate_aminotransferase_adjstatins	snpnet	qt	Genotype_and_covariates	1.796916e-01
african	Aspartate_aminotransferase_adjstatins	snpnet	qt	Genotype_only	5.385356e-02
african	Calcium	snpnet	qt	Covariates_only	2.010484e-01
african	Calcium	snpnet	qt	Genotype_and_covariates	2.201318e-01
african	Calcium	snpnet	qt	Genotype_only	1.056864e-01
african	Calcium_adjstatins	snpnet	qt	Covariates_only	1.837968e-01
african	Calcium_adjstatins	snpnet	qt	Genotype_and_covariates	2.067974e-01
african	Calcium_adjstatins	snpnet	qt	Genotype_only	1.056126e-01
african	Cholesterol	snpnet	qt	Covariates_only	1.702992e-01
african	Cholesterol	snpnet	qt	Genotype_and_covariates	2.718208e-01
african	Cholesterol	snpnet	qt	Genotype_only	2.231453e-01
african	Cholesterol_adjstatins	snpnet	qt	Covariates_only	2.245526e-01
african	Cholesterol_adjstatins	snpnet	qt	Genotype_and_covariates	3.450357e-01
african	Cholesterol_adjstatins	snpnet	qt	Genotype_only	2.699405e-01
african	Creatinine	snpnet	qt	Covariates_only	3.924612e-01
african	Creatinine	snpnet	qt	Genotype_and_covariates	3.901422e-01
african	Creatinine	snpnet	qt	Genotype_only	4.027950e-02
african	Creatinine_adjstatins	snpnet	qt	Covariates_only	3.910357e-01
african	Creatinine_adjstatins	snpnet	qt	Genotype_and_covariates	3.881404e-01
african	Creatinine_adjstatins	snpnet	qt	Genotype_only	4.254923e-02
african	Creatinine_in_urine	snpnet	qt	Covariates_only	2.958481e-01
african	Creatinine_in_urine	snpnet	qt	Genotype_and_covariates	2.974795e-01
african	Creatinine_in_urine	snpnet	qt	Genotype_only	3.880510e-02
african	Cystatin_C	snpnet	qt	Covariates_only	2.989014e-01
african	Cystatin_C	snpnet	qt	Genotype_and_covariates	3.097028e-01
african	Cystatin_C	snpnet	qt	Genotype_only	9.594360e-02
african	Cystatin_C_adjstatins	snpnet	qt	Covariates_only	2.855044e-01
african	Cystatin_C_adjstatins	snpnet	qt	Genotype_and_covariates	2.977500e-01
african	Cystatin_C_adjstatins	snpnet	qt	Genotype_only	9.756983e-02
african	C_reactive_protein	snpnet	qt	Covariates_only	7.402237e-02
african	C_reactive_protein	snpnet	qt	Genotype_and_covariates	1.088992e-01
african	C_reactive_protein	snpnet	qt	Genotype_only	7.930917e-02
african	C_reactive_protein_adjstatins	snpnet	qt	Covariates_only	6.813791e-02
african	C_reactive_protein_adjstatins	snpnet	qt	Genotype_and_covariates	1.031572e-01
african	C_reactive_protein_adjstatins	snpnet	qt	Genotype_only	7.760345e-02
african	Direct_bilirubin	snpnet	qt	Covariates_only	2.068015e-01
african	Direct_bilirubin	snpnet	qt	Genotype_and_covariates	4.449295e-01
african	Direct_bilirubin	snpnet	qt	Genotype_only	3.790625e-01
african	Direct_bilirubin_adjstatins	snpnet	qt	Covariates_only	2.121569e-01
african	Direct_bilirubin_adjstatins	snpnet	qt	Genotype_and_covariates	4.444637e-01
african	Direct_bilirubin_adjstatins	snpnet	qt	Genotype_only	3.763742e-01
african	Fasting_glucose	snpnet	qt	Covariates_only	5.692105e-01
african	Fasting_glucose	snpnet	qt	Genotype_and_covariates	5.667273e-01
african	Fasting_glucose	snpnet	qt	Genotype_only	1.569991e-02
african	Gamma_glutamyltransferase_adjstatins	snpnet	qt	Covariates_only	1.950470e-01
african	Gamma_glutamyltransferase_adjstatins	snpnet	qt	Genotype_and_covariates	2.154513e-01
african	Gamma_glutamyltransferase_adjstatins	snpnet	qt	Genotype_only	9.120257e-02
african	Glucose	snpnet	qt	Covariates_only	1.204410e-01
african	Glucose	snpnet	qt	Genotype_and_covariates	1.280920e-01
african	Glucose	snpnet	qt	Genotype_only	4.907054e-02
african	Glycated_haemoglobin_HbA1c	snpnet	qt	Covariates_only	2.205655e-01
african	Glycated_haemoglobin_HbA1c	snpnet	qt	Genotype_and_covariates	2.191710e-01
african	Glycated_haemoglobin_HbA1c	snpnet	qt	Genotype_only	6.876160e-02
african	Glycated_haemoglobin_HbA1c_adjstatins	snpnet	qt	Covariates_only	2.063726e-01
african	Glycated_haemoglobin_HbA1c_adjstatins	snpnet	qt	Genotype_and_covariates	2.066846e-01
african	Glycated_haemoglobin_HbA1c_adjstatins	snpnet	qt	Genotype_only	6.912779e-02
african	HDL_cholesterol	snpnet	qt	Covariates_only	3.329184e-01
african	HDL_cholesterol	snpnet	qt	Genotype_and_covariates	3.978670e-01
african	HDL_cholesterol	snpnet	qt	Genotype_only	2.143815e-01
african	HDL_cholesterol_adjstatins	snpnet	qt	Covariates_only	3.289706e-01
african	HDL_cholesterol_adjstatins	snpnet	qt	Genotype_and_covariates	3.934340e-01
african	HDL_cholesterol_adjstatins	snpnet	qt	Genotype_only	2.120118e-01
african	IGF_1	snpnet	qt	Covariates_only	2.128875e-01
african	IGF_1	snpnet	qt	Genotype_and_covariates	2.880998e-01
african	IGF_1	snpnet	qt	Genotype_only	1.921190e-01
african	IGF_1_adjstatins	snpnet	qt	Covariates_only	2.130073e-01
african	IGF_1_adjstatins	snpnet	qt	Genotype_and_covariates	2.880998e-01
african	IGF_1_adjstatins	snpnet	qt	Genotype_only	1.919899e-01
african	LDL_direct	snpnet	qt	Covariates_only	1.540924e-01
african	LDL_direct	snpnet	qt	Genotype_and_covariates	2.634741e-01
african	LDL_direct	snpnet	qt	Genotype_only	2.248861e-01
african	LDL_direct_adjstatins	snpnet	qt	Covariates_only	1.618256e-01
african	LDL_direct_adjstatins	snpnet	qt	Genotype_and_covariates	2.785683e-01
african	LDL_direct_adjstatins	snpnet	qt	Genotype_only	2.336891e-01
african	Lipoprotein_A_adjstatins	snpnet	qt	Covariates_only	4.512470e-02
african	Lipoprotein_A_adjstatins	snpnet	qt	Genotype_and_covariates	1.113656e-01
african	Lipoprotein_A_adjstatins	snpnet	qt	Genotype_only	1.047918e-01
african	MicroalbuminNormal	snpnet	bin	Covariates_only	5.581286e-01
african	MicroalbuminNormal	snpnet	bin	Genotype_and_covariates	5.641124e-01
african	MicroalbuminNormal	snpnet	bin	Genotype_only	5.295069e-01
african	Non_albumin_protein	snpnet	qt	Covariates_only	1.104290e-01
african	Non_albumin_protein	snpnet	qt	Genotype_and_covariates	1.791210e-01
african	Non_albumin_protein	snpnet	qt	Genotype_only	1.401289e-01
african	Non_albumin_protein_adjstatins	snpnet	qt	Covariates_only	1.067671e-01
african	Non_albumin_protein_adjstatins	snpnet	qt	Genotype_and_covariates	1.766438e-01
african	Non_albumin_protein_adjstatins	snpnet	qt	Genotype_only	1.396703e-01
african	OestradiolNormal	snpnet	bin	Covariates_only	8.447572e-01
african	OestradiolNormal	snpnet	bin	Genotype_and_covariates	8.449742e-01
african	OestradiolNormal	snpnet	bin	Genotype_only	5.151281e-01
african	Phosphate	snpnet	qt	Covariates_only	3.368095e-01
african	Phosphate	snpnet	qt	Genotype_and_covariates	3.435507e-01
african	Phosphate	snpnet	qt	Genotype_only	1.001329e-01
african	Phosphate_adjstatins	snpnet	qt	Covariates_only	3.248548e-01
african	Phosphate_adjstatins	snpnet	qt	Genotype_and_covariates	3.331010e-01
african	Phosphate_adjstatins	snpnet	qt	Genotype_only	9.773565e-02
african	Potassium_in_urine	snpnet	qt	Covariates_only	1.366397e-01
african	Potassium_in_urine	snpnet	qt	Genotype_and_covariates	1.394883e-01
african	Potassium_in_urine	snpnet	qt	Genotype_only	2.995113e-02
african	RheumatoidFactorNormal	snpnet	bin	Covariates_only	5.747770e-01
