#Population	GBE_ID	PRS_model	phe_type	features	R_or_AUC
white_british	Alanine_aminotransferase.adjust.statins	snpnet	qt	Genotype_only	2.331535e-01
white_british	Albumin.adjust.statins	snpnet	qt	Genotype_only	2.523317e-01
white_british	Alkaline_phosphatase	snpnet	qt	Genotype_only	4.670645e-01
white_british	Apolipoprotein_A.adjust.statins	snpnet	qt	Genotype_only	3.829545e-01
white_british	Apolipoprotein_B.adjust.statins	snpnet	qt	Genotype_only	4.945881e-01
white_british	Aspartate_aminotransferase.adjust.statins	snpnet	qt	Genotype_only	2.862369e-01
white_british	Calcium.adjust.statins	snpnet	qt	Genotype_only	2.536786e-01
white_british	Cholesterol.adjust.statins	snpnet	qt	Genotype_only	4.339474e-01
white_british	Creatinine.adjust.statins	snpnet	qt	Genotype_only	3.261193e-01
white_british	Creatinine_in_urine	snpnet	qt	Genotype_only	6.403948e-02
white_british	Cystatin_C.adjust.statins	snpnet	qt	Genotype_only	3.974487e-01
white_british	C_reactive_protein.adjust.statins	snpnet	qt	Genotype_only	3.036818e-01
white_british	Gamma_glutamyltransferase.adjust.statins	snpnet	qt	Genotype_only	3.527222e-01
white_british	Glucose	snpnet	qt	Genotype_only	1.966562e-01
white_british	Glycated_haemoglobin_HbA1c.adjust.statins	snpnet	qt	Genotype_only	3.839521e-01
white_british	HDL_cholesterol.adjust.statins	snpnet	qt	Genotype_only	4.245004e-01
white_british	LDL_direct.adjust.statins	snpnet	qt	Genotype_only	4.491754e-01
white_british	Lipoprotein_A.adjust.statins	snpnet	qt	Genotype_only	6.801591e-01
white_british	Microalbumin_in_urine	snpnet	qt	Genotype_only	9.491158e-02
white_british	Non_albumin_protein.adjust.statins	snpnet	qt	Genotype_only	3.355680e-01
white_british	Phosphate.adjust.statins	snpnet	qt	Genotype_only	2.504952e-01
white_british	Potassium_in_urine	snpnet	qt	Genotype_only	4.034912e-02
white_british	SHBG.adjust.statins	snpnet	qt	Genotype_only	3.794529e-01
white_british	Sodium_in_urine	snpnet	qt	Genotype_only	8.310526e-02
white_british	Testosterone.adjust.statins	snpnet	qt	Genotype_only	2.251885e-01
white_british	Triglycerides.adjust.statins	snpnet	qt	Genotype_only	3.532077e-01
white_british	Urate	snpnet	qt	Genotype_only	3.705859e-01
white_british	Urea.adjust.statins	snpnet	qt	Genotype_only	2.116510e-01
white_british	Vitamin_D.adjust.statins	snpnet	qt	Genotype_only	2.372991e-01
white_british	eGFR.adjust.statins	snpnet	qt	Genotype_only	3.276286e-01
