#Population	GBE_ID	PRS_model	phe_type	features	R_or_AUC
e_asian	Alanine_aminotransferase	snpnet	qt	Covariates_only	3.099700e-01
e_asian	Alanine_aminotransferase	snpnet	qt	Genotype_and_covariates	3.338810e-01
e_asian	Alanine_aminotransferase	snpnet	qt	Genotype_only	1.325707e-01
e_asian	Alanine_aminotransferase_adjstatins	snpnet	qt	Covariates_only	3.078116e-01
e_asian	Alanine_aminotransferase_adjstatins	snpnet	qt	Genotype_and_covariates	3.330521e-01
e_asian	Alanine_aminotransferase_adjstatins	snpnet	qt	Genotype_only	1.360361e-01
e_asian	Albumin	snpnet	qt	Covariates_only	2.435150e-01
e_asian	Albumin	snpnet	qt	Genotype_and_covariates	2.288445e-01
e_asian	Albumin	snpnet	qt	Genotype_only	5.707544e-02
e_asian	Albumin_adjstatins	snpnet	qt	Covariates_only	2.378766e-01
e_asian	Albumin_adjstatins	snpnet	qt	Genotype_and_covariates	2.245689e-01
e_asian	Albumin_adjstatins	snpnet	qt	Genotype_only	5.499626e-02
e_asian	Alkaline_phosphatase	snpnet	qt	Covariates_only	2.928511e-01
e_asian	Alkaline_phosphatase	snpnet	qt	Genotype_and_covariates	4.202433e-01
e_asian	Alkaline_phosphatase	snpnet	qt	Genotype_only	3.024881e-01
e_asian	Apolipoprotein_A	snpnet	qt	Covariates_only	6.082761e-02
e_asian	Apolipoprotein_A	snpnet	qt	Genotype_and_covariates	6.052695e-02
e_asian	Apolipoprotein_A	snpnet	qt	Genotype_only	2.194475e-02
e_asian	Apolipoprotein_A_adjstatins	snpnet	qt	Covariates_only	6.106775e-02
e_asian	Apolipoprotein_A_adjstatins	snpnet	qt	Genotype_and_covariates	5.877201e-02
e_asian	Apolipoprotein_A_adjstatins	snpnet	qt	Genotype_only	1.850284e-02
e_asian	Apolipoprotein_B	snpnet	qt	Covariates_only	4.673328e-02
e_asian	Apolipoprotein_B	snpnet	qt	Genotype_and_covariates	1.051331e-01
e_asian	Apolipoprotein_B	snpnet	qt	Genotype_only	9.262701e-02
e_asian	Apolipoprotein_B_adjstatins	snpnet	qt	Covariates_only	6.313742e-02
e_asian	Apolipoprotein_B_adjstatins	snpnet	qt	Genotype_and_covariates	1.262947e-01
e_asian	Apolipoprotein_B_adjstatins	snpnet	qt	Genotype_only	1.067474e-01
e_asian	Aspartate_aminotransferase	snpnet	qt	Covariates_only	1.566477e-01
e_asian	Aspartate_aminotransferase	snpnet	qt	Genotype_and_covariates	1.759338e-01
e_asian	Aspartate_aminotransferase	snpnet	qt	Genotype_only	8.784161e-02
e_asian	Aspartate_aminotransferase_adjstatins	snpnet	qt	Covariates_only	1.480375e-01
e_asian	Aspartate_aminotransferase_adjstatins	snpnet	qt	Genotype_and_covariates	1.683015e-01
e_asian	Aspartate_aminotransferase_adjstatins	snpnet	qt	Genotype_only	8.751728e-02
e_asian	Calcium	snpnet	qt	Covariates_only	4.766482e-01
e_asian	Calcium	snpnet	qt	Genotype_and_covariates	3.816257e-01
e_asian	Calcium	snpnet	qt	Genotype_only	2.035983e-02
e_asian	Calcium_adjstatins	snpnet	qt	Covariates_only	4.804265e-01
e_asian	Calcium_adjstatins	snpnet	qt	Genotype_and_covariates	3.854745e-01
e_asian	Calcium_adjstatins	snpnet	qt	Genotype_only	1.849610e-02
e_asian	Cholesterol	snpnet	qt	Covariates_only	2.064232e-01
e_asian	Cholesterol	snpnet	qt	Genotype_and_covariates	3.437176e-01
e_asian	Cholesterol	snpnet	qt	Genotype_only	2.636903e-01
e_asian	Cholesterol_adjstatins	snpnet	qt	Covariates_only	2.582915e-01
e_asian	Cholesterol_adjstatins	snpnet	qt	Genotype_and_covariates	4.078369e-01
e_asian	Cholesterol_adjstatins	snpnet	qt	Genotype_only	2.936529e-01
e_asian	Creatinine	snpnet	qt	Covariates_only	5.420161e-01
e_asian	Creatinine	snpnet	qt	Genotype_and_covariates	5.415858e-01
e_asian	Creatinine	snpnet	qt	Genotype_only	1.034793e-01
e_asian	Creatinine_adjstatins	snpnet	qt	Covariates_only	5.368751e-01
e_asian	Creatinine_adjstatins	snpnet	qt	Genotype_and_covariates	5.375768e-01
e_asian	Creatinine_adjstatins	snpnet	qt	Genotype_only	1.072005e-01
e_asian	Cystatin_C	snpnet	qt	Covariates_only	4.780673e-01
e_asian	Cystatin_C	snpnet	qt	Genotype_and_covariates	4.941511e-01
e_asian	Cystatin_C	snpnet	qt	Genotype_only	1.696785e-01
e_asian	Cystatin_C_adjstatins	snpnet	qt	Covariates_only	4.639463e-01
e_asian	Cystatin_C_adjstatins	snpnet	qt	Genotype_and_covariates	4.811885e-01
e_asian	Cystatin_C_adjstatins	snpnet	qt	Genotype_only	1.706965e-01
e_asian	C_reactive_protein	snpnet	qt	Covariates_only	1.138198e-01
e_asian	C_reactive_protein	snpnet	qt	Genotype_and_covariates	1.666064e-01
e_asian	C_reactive_protein	snpnet	qt	Genotype_only	1.309279e-01
e_asian	C_reactive_protein_adjstatins	snpnet	qt	Covariates_only	1.067874e-01
e_asian	C_reactive_protein_adjstatins	snpnet	qt	Genotype_and_covariates	1.600620e-01
e_asian	C_reactive_protein_adjstatins	snpnet	qt	Genotype_only	1.285112e-01
e_asian	Direct_bilirubin	snpnet	qt	Covariates_only	2.141205e-01
e_asian	Direct_bilirubin	snpnet	qt	Genotype_and_covariates	2.963779e-01
e_asian	Direct_bilirubin	snpnet	qt	Genotype_only	2.122130e-01
e_asian	Direct_bilirubin_adjstatins	snpnet	qt	Covariates_only	2.097555e-01
e_asian	Direct_bilirubin_adjstatins	snpnet	qt	Genotype_and_covariates	2.936369e-01
e_asian	Direct_bilirubin_adjstatins	snpnet	qt	Genotype_only	2.122838e-01
e_asian	Fasting_glucose	snpnet	qt	Covariates_only	2.090024e-02
e_asian	Fasting_glucose	snpnet	qt	Genotype_and_covariates	1.991008e-02
e_asian	Fasting_glucose	snpnet	qt	Genotype_only	1.087096e-02
e_asian	Gamma_glutamyltransferase_adjstatins	snpnet	qt	Covariates_only	1.898866e-01
e_asian	Gamma_glutamyltransferase_adjstatins	snpnet	qt	Genotype_and_covariates	2.463258e-01
e_asian	Gamma_glutamyltransferase_adjstatins	snpnet	qt	Genotype_only	1.643937e-01
e_asian	Glucose	snpnet	qt	Covariates_only	3.413154e-01
e_asian	Glucose	snpnet	qt	Genotype_and_covariates	3.365818e-01
e_asian	Glucose	snpnet	qt	Genotype_only	3.361938e-03
e_asian	Glycated_haemoglobin_HbA1c	snpnet	qt	Covariates_only	1.705140e-01
e_asian	Glycated_haemoglobin_HbA1c	snpnet	qt	Genotype_and_covariates	1.896798e-01
e_asian	Glycated_haemoglobin_HbA1c	snpnet	qt	Genotype_only	9.139881e-02
e_asian	Glycated_haemoglobin_HbA1c_adjstatins	snpnet	qt	Covariates_only	1.602228e-01
e_asian	Glycated_haemoglobin_HbA1c_adjstatins	snpnet	qt	Genotype_and_covariates	1.805121e-01
e_asian	Glycated_haemoglobin_HbA1c_adjstatins	snpnet	qt	Genotype_only	9.156477e-02
e_asian	HDL_cholesterol	snpnet	qt	Covariates_only	9.424029e-02
e_asian	HDL_cholesterol	snpnet	qt	Genotype_and_covariates	1.083139e-01
e_asian	HDL_cholesterol	snpnet	qt	Genotype_only	5.690273e-02
e_asian	HDL_cholesterol_adjstatins	snpnet	qt	Covariates_only	9.295280e-02
e_asian	HDL_cholesterol_adjstatins	snpnet	qt	Genotype_and_covariates	1.075416e-01
e_asian	HDL_cholesterol_adjstatins	snpnet	qt	Genotype_only	5.722651e-02
e_asian	IGF_1	snpnet	qt	Covariates_only	3.105266e-01
e_asian	IGF_1	snpnet	qt	Genotype_and_covariates	3.782969e-01
e_asian	IGF_1	snpnet	qt	Genotype_only	2.391534e-01
e_asian	IGF_1_adjstatins	snpnet	qt	Covariates_only	3.105734e-01
e_asian	IGF_1_adjstatins	snpnet	qt	Genotype_and_covariates	3.783645e-01
e_asian	IGF_1_adjstatins	snpnet	qt	Genotype_only	2.392045e-01
e_asian	LDL_direct	snpnet	qt	Covariates_only	1.388703e-01
e_asian	LDL_direct	snpnet	qt	Genotype_and_covariates	2.658658e-01
e_asian	LDL_direct	snpnet	qt	Genotype_only	2.316675e-01
e_asian	LDL_direct_adjstatins	snpnet	qt	Covariates_only	1.943506e-01
e_asian	LDL_direct_adjstatins	snpnet	qt	Genotype_and_covariates	3.437826e-01
e_asian	LDL_direct_adjstatins	snpnet	qt	Genotype_only	2.751267e-01
e_asian	Non_albumin_protein	snpnet	qt	Covariates_only	2.350589e-01
e_asian	Non_albumin_protein	snpnet	qt	Genotype_and_covariates	2.040405e-01
e_asian	Non_albumin_protein	snpnet	qt	Genotype_only	1.100083e-01
e_asian	Phosphate	snpnet	qt	Covariates_only	2.374008e-01
e_asian	Phosphate	snpnet	qt	Genotype_and_covariates	2.083787e-01
e_asian	Phosphate	snpnet	qt	Genotype_only	1.127417e-02
e_asian	SHBG	snpnet	qt	Covariates_only	3.660555e-01
e_asian	SHBG	snpnet	qt	Genotype_and_covariates	4.028051e-01
e_asian	SHBG	snpnet	qt	Genotype_only	1.651137e-01
e_asian	Sodium_in_urine	snpnet	qt	Covariates_only	2.505243e-01
e_asian	Sodium_in_urine	snpnet	qt	Genotype_and_covariates	2.524293e-01
e_asian	Sodium_in_urine	snpnet	qt	Genotype_only	2.948298e-02
e_asian	Testosterone	snpnet	qt	Covariates_only	8.529849e-01
e_asian	Testosterone	snpnet	qt	Genotype_and_covariates	8.529984e-01
e_asian	Testosterone	snpnet	qt	Genotype_only	3.380538e-02
e_asian	Testosterone_adjstatins	snpnet	qt	Covariates_only	8.519356e-01
e_asian	Testosterone_adjstatins	snpnet	qt	Genotype_and_covariates	8.520001e-01
e_asian	Testosterone_adjstatins	snpnet	qt	Genotype_only	3.565374e-02
e_asian	Total_protein	snpnet	qt	Covariates_only	3.398602e-01
e_asian	Total_protein	snpnet	qt	Genotype_and_covariates	2.632771e-01
e_asian	Total_protein	snpnet	qt	Genotype_only	5.829375e-02
e_asian	Total_protein_adjstatins	snpnet	qt	Covariates_only	3.306009e-01
e_asian	Total_protein_adjstatins	snpnet	qt	Genotype_and_covariates	2.588690e-01
e_asian	Total_protein_adjstatins	snpnet	qt	Genotype_only	5.666872e-02
e_asian	Triglycerides	snpnet	qt	Covariates_only	2.642602e-01
e_asian	Triglycerides	snpnet	qt	Genotype_and_covariates	3.464750e-01
e_asian	Triglycerides	snpnet	qt	Genotype_only	2.293282e-01
e_asian	Urate	snpnet	qt	Covariates_only	5.220330e-01
e_asian	Urate	snpnet	qt	Genotype_and_covariates	5.669471e-01
e_asian	Urate	snpnet	qt	Genotype_only	2.225758e-01
e_asian	Urea	snpnet	qt	Covariates_only	3.051539e-01
e_asian	Urea	snpnet	qt	Genotype_and_covariates	3.254575e-01
e_asian	Urea	snpnet	qt	Genotype_only	1.241711e-01
e_asian	Urea_adjstatins	snpnet	qt	Covariates_only	2.930899e-01
e_asian	Urea_adjstatins	snpnet	qt	Genotype_and_covariates	3.139888e-01
e_asian	Urea_adjstatins	snpnet	qt	Genotype_only	1.236858e-01
