#GBE_ID	PRS_model	phe_type	features	R_or_AUC	phe_name	N
HC276	vanilla_PRS_1e-3	bin	covars	6.918954e-01	glaucoma	5863
HC276	vanilla_PRS_1e-3	bin	PRS	5.265701e-01	glaucoma	5863
HC276	vanilla_PRS_1e-3	bin	PRS_and_covars	6.916160e-01	glaucoma	5863
HC276	vanilla_PRS_1e-4	bin	covars	6.918954e-01	glaucoma	5863
HC276	vanilla_PRS_1e-4	bin	PRS	5.419468e-01	glaucoma	5863
HC276	vanilla_PRS_1e-4	bin	PRS_and_covars	6.912742e-01	glaucoma	5863
HC276	vanilla_PRS_1e-5	bin	covars	6.918954e-01	glaucoma	5863
HC276	vanilla_PRS_1e-5	bin	PRS	5.414900e-01	glaucoma	5863
HC276	vanilla_PRS_1e-5	bin	PRS_and_covars	6.959129e-01	glaucoma	5863
HC281	vanilla_PRS_1e-3	bin	covars	7.429139e-01	atrial_fibrillation	12665
HC281	vanilla_PRS_1e-3	bin	PRS	5.315376e-01	atrial_fibrillation	12665
HC281	vanilla_PRS_1e-3	bin	PRS_and_covars	7.433238e-01	atrial_fibrillation	12665
HC281	vanilla_PRS_1e-4	bin	covars	7.429139e-01	atrial_fibrillation	12665
HC281	vanilla_PRS_1e-4	bin	PRS	5.377182e-01	atrial_fibrillation	12665
HC281	vanilla_PRS_1e-4	bin	PRS_and_covars	7.434429e-01	atrial_fibrillation	12665
HC281	vanilla_PRS_1e-5	bin	covars	7.429139e-01	atrial_fibrillation	12665
HC281	vanilla_PRS_1e-5	bin	PRS	5.523962e-01	atrial_fibrillation	12665
HC281	vanilla_PRS_1e-5	bin	PRS_and_covars	7.417673e-01	atrial_fibrillation	12665
HC326	vanilla_PRS_1e-3	bin	covars	7.555183e-01	heart_attack/myocardial_infarction	12138
HC326	vanilla_PRS_1e-3	bin	PRS	5.170164e-01	heart_attack/myocardial_infarction	12138
HC326	vanilla_PRS_1e-3	bin	PRS_and_covars	7.553616e-01	heart_attack/myocardial_infarction	12138
HC326	vanilla_PRS_1e-4	bin	covars	7.555183e-01	heart_attack/myocardial_infarction	12138
HC326	vanilla_PRS_1e-4	bin	PRS	5.142940e-01	heart_attack/myocardial_infarction	12138
HC326	vanilla_PRS_1e-4	bin	PRS_and_covars	7.558291e-01	heart_attack/myocardial_infarction	12138
HC326	vanilla_PRS_1e-5	bin	covars	7.555183e-01	heart_attack/myocardial_infarction	12138
HC326	vanilla_PRS_1e-5	bin	PRS	5.217146e-01	heart_attack/myocardial_infarction	12138
HC326	vanilla_PRS_1e-5	bin	PRS_and_covars	7.537879e-01	heart_attack/myocardial_infarction	12138
HC382	vanilla_PRS_1e-3	bin	covars	5.340919e-01	asthma	43626
HC382	vanilla_PRS_1e-3	bin	PRS	5.092069e-01	asthma	43626
HC382	vanilla_PRS_1e-3	bin	PRS_and_covars	5.339947e-01	asthma	43626
HC382	vanilla_PRS_1e-4	bin	covars	5.340919e-01	asthma	43626
HC382	vanilla_PRS_1e-4	bin	PRS	5.104965e-01	asthma	43626
HC382	vanilla_PRS_1e-4	bin	PRS_and_covars	5.339070e-01	asthma	43626
HC382	vanilla_PRS_1e-5	bin	covars	5.340919e-01	asthma	43626
HC382	vanilla_PRS_1e-5	bin	PRS	5.074207e-01	asthma	43626
HC382	vanilla_PRS_1e-5	bin	PRS_and_covars	5.338992e-01	asthma	43626
