#GBE_ID	PRS_model	phe_type	features	R_or_AUC	phe_name	N
cancer1001	vanilla_PRS_1e-3	bin	covars	7.137014e-01	lung_cancer	1981
cancer1001	vanilla_PRS_1e-3	bin	PRS	5.113273e-01	lung_cancer	1981
cancer1001	vanilla_PRS_1e-3	bin	PRS_and_covars	7.137625e-01	lung_cancer	1981
cancer1001	vanilla_PRS_1e-4	bin	covars	7.137014e-01	lung_cancer	1981
cancer1001	vanilla_PRS_1e-4	bin	PRS	5.025617e-01	lung_cancer	1981
cancer1001	vanilla_PRS_1e-4	bin	PRS_and_covars	7.136916e-01	lung_cancer	1981
cancer1001	vanilla_PRS_1e-5	bin	covars	7.137014e-01	lung_cancer	1981
cancer1001	vanilla_PRS_1e-5	bin	PRS	5.047676e-01	lung_cancer	1981
cancer1001	vanilla_PRS_1e-5	bin	PRS_and_covars	7.135988e-01	lung_cancer	1981
cancer1002	vanilla_PRS_1e-3	bin	covars	7.917622e-01	breast_cancer	11243
cancer1002	vanilla_PRS_1e-3	bin	PRS	5.271384e-01	breast_cancer	11243
cancer1002	vanilla_PRS_1e-3	bin	PRS_and_covars	7.917119e-01	breast_cancer	11243
cancer1002	vanilla_PRS_1e-4	bin	covars	7.917622e-01	breast_cancer	11243
cancer1002	vanilla_PRS_1e-4	bin	PRS	5.210834e-01	breast_cancer	11243
cancer1002	vanilla_PRS_1e-4	bin	PRS_and_covars	7.920586e-01	breast_cancer	11243
cancer1002	vanilla_PRS_1e-5	bin	covars	7.917622e-01	breast_cancer	11243
cancer1002	vanilla_PRS_1e-5	bin	PRS	5.204576e-01	breast_cancer	11243
cancer1002	vanilla_PRS_1e-5	bin	PRS_and_covars	7.919202e-01	breast_cancer	11243
cancer1003	vanilla_PRS_1e-3	bin	covars	6.579614e-01	skin_cancer	19170
cancer1003	vanilla_PRS_1e-3	bin	PRS	5.204764e-01	skin_cancer	19170
cancer1003	vanilla_PRS_1e-3	bin	PRS_and_covars	6.575741e-01	skin_cancer	19170
cancer1003	vanilla_PRS_1e-4	bin	covars	6.579614e-01	skin_cancer	19170
cancer1003	vanilla_PRS_1e-4	bin	PRS	5.259718e-01	skin_cancer	19170
cancer1003	vanilla_PRS_1e-4	bin	PRS_and_covars	6.566639e-01	skin_cancer	19170
cancer1003	vanilla_PRS_1e-5	bin	covars	6.579614e-01	skin_cancer	19170
cancer1003	vanilla_PRS_1e-5	bin	PRS	5.331719e-01	skin_cancer	19170
cancer1003	vanilla_PRS_1e-5	bin	PRS_and_covars	6.610340e-01	skin_cancer	19170
cancer1004	vanilla_PRS_1e-3	bin	covars	6.246384e-01	cancer_of_lip/mouth/pharynx/oral_cavity	659
