#GBE_ID	PTVs	PAVs	Others
HC0	0	0	0
HC1	1	0	0
HC2	27	74	125
HC3	35	78	155
HC4	2	0	0
HC5	27	54	96
HC6	3	0	0
HC7	4	4	1
HC8	1	0	0
HC9	2	0	0
HC10	4	7	1
HC11	0	1	0
HC12	1	0	0
HC13	4	1	0
HC14	0	0	0
HC15	0	0	0
HC16	16	17	28
HC17	19	31	36
HC18	2	1	0
HC21	0	0	0
HC22	43	140	281
HC24	9	9	7
HC25	55	340	1211
HC26	19	40	71
HC27	12	13	9
HC28	23	38	52
HC31	32	83	162
HC32	4	3	1
HC33	14	16	32
HC34	57	343	1399
HC35	7	12	17
HC36	31	95	180
HC38	30	111	168
HC39	7	11	4
HC40	2	1	0
HC41	20	41	42
HC42	0	0	0
HC43	1	0	0
HC44	5	8	3
HC45	8	8	3
HC46	44	216	774
HC47	0	1	0
HC48	1	0	0
HC49	43	136	388
HC51	6	7	3
HC52	12	17	20
HC53	1	0	0
HC54	22	63	157
HC55	25	61	99
HC56	5	0	0
HC57	40	92	259
HC58	0	0	0
HC59	3	1	0
HC60	1	0	0
HC61	41	125	256
HC62	3	2	0
HC63	0	0	0
HC64	32	98	150
HC67	11	5	6
HC68	3	0	0
HC69	10	10	22
HC72	1	0	0
HC74	15	24	12
HC76	78	459	2497
HC77	9	19	21
HC78	57	387	1491
HC79	41	86	164
HC81	6	6	1
HC82	51	82	188
HC83	16	27	16
HC84	21	38	56
HC85	39	119	486
HC86	8	10	11
HC87	12	27	15
HC88	21	63	172
HC89	22	34	39
HC91	9	23	23
HC92	25	64	98
HC93	9	20	22
HC95	33	84	155
HC96	23	44	46
HC98	1	0	0
HC99	7	8	4
HC100	21	64	123
HC101	6	4	2
HC102	0	0	0
HC103	47	128	490
HC104	0	0	0
HC105	36	153	401
HC106	38	117	253
HC107	3	4	1
HC109	0	0	0
HC110	5	5	1
HC112	6	5	0
HC113	2	1	0
HC114	0	0	0
HC115	0	0	0
HC116	6	7	3
HC117	3	1	0
HC118	1	0	0
HC119	0	0	0
HC121	12	14	22
HC122	3	1	0
HC123	11	30	15
HC124	0	0	0
HC125	6	8	5
HC126	28	47	115
HC127	1	0	0
HC128	24	94	272
HC129	2	0	0
HC130	10	6	2
HC131	1	0	0
HC132	81	462	2128
HC133	27	61	104
HC134	1	0	0
HC135	17	59	123
HC136	0	0	0
HC139	0	0	0
HC140	26	62	157
HC142	8	6	6
HC143	0	0	0
HC144	13	18	13
HC146	3	0	0
HC149	4	1	0
HC150	2	3	0
HC151	19	35	36
HC152	8	1	3
HC153	4	1	0
HC154	0	0	0
HC155	71	305	1419
HC156	27	68	112
HC157	32	77	163
HC158	8	6	2
HC160	13	38	33
HC161	6	6	7
HC162	0	0	0
HC163	31	46	80
HC164	0	0	0
HC165	50	164	555
HC166	60	291	1178
HC167	5	1	0
HC168	1	0	0
HC169	17	16	17
HC170	7	6	2
HC171	7	3	2
HC172	1	0	0
HC173	8	5	7
HC176	13	27	31
HC177	6	6	8
HC178	2	0	0
HC179	21	56	95
HC180	0	0	0
HC181	3	3	0
HC182	0	0	0
HC184	3	4	5
HC185	10	10	5
HC187	24	14	23
HC188	63	328	884
HC191	0	0	0
HC193	0	0	0
HC194	44	178	659
HC195	33	110	350
HC196	49	262	1083
HC197	30	75	214
HC198	1	1	0
HC200	0	0	0
HC201	32	101	221
HC202	8	1	0
HC203	24	60	64
HC204	0	1	0
HC205	31	107	240
HC206	12	19	16
HC207	36	160	426
HC208	0	0	0
HC209	0	0	0
HC210	1	0	0
HC212	5	11	3
HC213	0	0	0
HC215	165	1536	13724
HC216	0	1	0
HC217	13	13	4
HC218	11	22	12
HC219	117	775	4556
HC220	0	0	0
HC221	91	726	4074
HC222	13	18	11
HC223	21	36	47
HC224	2	2	0
HC225	51	230	537
HC226	71	453	2662
HC227	0	0	0
HC229	0	0	0
HC230	0	0	0
HC231	12	14	27
HC232	10	15	16
HC233	22	53	62
HC234	2	0	0
HC237	1	1	0
HC239	22	57	89
HC240	0	0	0
HC241	60	178	669
HC242	12	8	15
HC243	69	412	1964
HC246	26	55	81
HC247	50	233	892
HC248	0	0	0
HC249	0	0	0
HC250	4	1	1
HC251	9	8	6
HC252	0	0	0
HC253	1	2	0
HC254	0	0	0
HC255	8	7	4
HC256	2	0	0
HC257	15	19	40
HC259	6	9	8
HC260	27	59	115
HC261	50	218	671
HC262	43	135	390
HC263	16	7	3
HC264	48	118	414
HC267	2	4	4
HC268	6	12	10
HC269	136	890	6237
HC270	13	28	26
HC271	2	0	1
HC273	140	1121	8663
HC274	12	19	19
HC275	5	4	3
HC276	43	203	659
HC277	30	36	46
HC278	3	7	0
HC280	1	0	0
HC281	91	562	3089
HC282	17	45	70
HC283	0	0	0
HC284	7	8	4
HC285	0	2	0
HC286	2	1	0
HC287	9	4	4
HC288	2	0	0
HC289	22	60	62
HC290	12	17	11
HC291	0	0	0
HC292	0	0	0
HC293	1	0	0
HC294	10	5	2
HC295	48	190	410
HC296	0	0	0
HC298	2	2	1
HC299	42	86	169
HC300	0	0	1
HC301	0	0	0
HC302	43	148	328
HC303	47	171	416
HC304	0	0	0
HC305	19	42	111
HC306	0	0	0
HC307	5	3	0
HC308	0	0	0
HC309	0	0	0
HC310	85	491	2531
HC311	34	91	173
HC312	4	0	1
HC313	0	0	0
HC314	16	5	3
HC315	0	0	0
HC316	14	21	15
HC317	14	19	16
HC318	0	0	0
HC319	16	13	6
HC320	0	0	0
HC321	5	3	0
HC322	31	82	105
HC323	2	0	0
HC324	2	1	0
HC325	0	0	0
HC326	75	444	1866
HC327	93	510	2968
HC328	58	231	696
HC329	53	190	784
HC330	28	87	162
HC331	1	0	0
HC332	2	0	0
HC333	0	0	0
HC334	0	0	0
HC337	27	134	292
HC338	1	0	0
HC339	0	0	0
HC340	2	0	0
HC341	10	14	17
HC342	3	1	0
HC344	0	0	0
HC346	14	13	5
HC347	1	2	1
HC348	21	47	53
HC351	8	1	2
HC352	16	31	12
HC353	1	0	0
HC355	12	15	11
HC356	0	0	0
HC357	8	10	13
HC358	2	0	0
HC359	33	30	49
HC360	0	0	0
HC361	1	0	0
HC362	12	6	6
HC363	1	0	0
HC364	0	1	0
HC366	4	1	0
HC369	19	40	53
HC370	0	0	0
HC371	5	5	3
HC373	0	1	0
HC374	13	46	34
HC375	1	0	0
HC376	82	354	1672
HC379	2	0	0
HC380	12	11	7
HC382	142	922	6288
HC383	1	0	3
HC384	19	37	50
HC385	16	38	39
HC386	0	0	0
HC388	19	16	35
HC389	0	0	0
HC390	24	22	28
HC391	4	1	0
HC392	0	0	0
HC393	15	22	24
HC394	1	0	0
HC395	0	0	0
HC396	20	25	24
HC397	0	0	0
HC398	2	0	0
HC400	7	1	0
HC401	87	553	2719
HC402	12	40	51
HC404	0	0	0
HC405	17	27	14
HC406	39	99	202
HC408	21	31	45
HC410	44	183	524
HC412	14	18	20
HC413	16	26	31
HC414	1	0	0
HC415	11	19	20
HC417	1	4	2
HC418	15	14	11
HC419	17	16	11
HC420	6	3	0
HC421	11	8	4
HC422	0	1	4
HC423	5	1	2
HC424	0	0	0
HC427	25	75	95
HC428	0	0	0
HC429	45	98	259
HC430	27	63	90
HC431	13	27	37
HC432	4	1	2
HC433	2	1	1
HC434	0	5	1
HC435	19	26	38
HC436	8	0	4
HC437	0	0	0
HC438	6	3	1
HC440	83	480	2137
HC441	3	0	0
HC442	45	191	529
HC443	2	1	0
HC444	15	43	53
HC445	8	8	2
