#GBE_ID	PTVs	PAVs	Others	PTVs_novel	PAVs_novel	Others_novel
HC0	0	0	0	0	0	0
HC1	1	0	0	1	0	0
HC2	27	74	125	27	74	125
HC3	35	78	155	35	78	155
HC4	2	0	0	2	0	0
HC5	27	54	96	27	54	96
HC6	3	0	0	3	0	0
HC7	4	4	1	4	4	1
HC8	1	0	0	1	0	0
HC9	2	0	0	2	0	0
HC10	4	7	1	4	7	1
HC11	0	1	0	0	1	0
HC12	1	0	0	1	0	0
HC13	4	1	0	4	1	0
HC14	0	0	0	0	0	0
HC15	0	0	0	0	0	0
HC16	16	17	28	16	17	28
HC17	19	31	36	19	31	34
HC18	2	1	0	2	1	0
HC21	0	0	0	0	0	0
HC22	43	140	281	43	136	267
HC24	9	9	7	9	9	7
HC25	55	340	1211	54	339	1191
HC26	19	40	71	19	40	65
HC27	12	13	9	12	13	9
HC28	23	38	52	23	38	51
HC31	32	83	162	32	83	159
HC32	4	3	1	4	3	1
HC33	14	16	32	14	16	32
HC34	57	343	1399	57	343	1399
HC35	7	12	17	7	12	17
HC36	31	95	180	31	95	180
HC38	30	111	168	0	5	17
HC39	7	11	4	7	11	4
HC40	2	1	0	2	1	0
HC41	20	41	42	20	41	42
HC42	0	0	0	0	0	0
HC43	1	0	0	1	0	0
HC44	5	8	3	5	8	3
HC45	8	8	3	7	8	3
HC46	44	216	774	44	216	774
HC47	0	1	0	0	1	0
HC48	1	0	0	1	0	0
HC49	43	136	388	40	130	361
HC51	6	7	3	6	7	3
HC52	12	17	20	12	17	20
HC53	1	0	0	1	0	0
HC54	22	63	157	22	63	157
HC55	25	61	99	23	51	82
HC56	5	0	0	5	0	0
HC57	40	92	259	40	91	256
HC58	0	0	0	0	0	0
HC59	3	1	0	2	1	0
HC60	1	0	0	1	0	0
HC61	41	125	256	41	125	251
HC62	3	2	0	3	2	0
HC63	0	0	0	0	0	0
HC64	32	98	150	32	98	150
HC67	11	5	6	11	5	5
HC68	3	0	0	3	0	0
HC69	10	10	22	10	10	19
HC72	1	0	0	1	0	0
HC74	15	24	12	15	24	12
HC76	78	459	2497	78	459	2497
HC77	9	19	21	9	19	21
HC78	57	387	1491	57	385	1483
HC79	41	86	164	41	86	163
HC81	6	6	1	6	6	1
HC82	51	82	188	51	82	188
HC83	16	27	16	16	26	14
HC84	21	38	56	21	38	55
HC85	39	119	486	39	119	475
HC86	8	10	11	8	9	4
HC87	12	27	15	12	27	15
HC88	21	63	172	21	63	172
HC89	22	34	39	22	34	39
HC91	9	23	23	7	18	14
HC92	25	64	98	25	64	98
HC93	9	20	22	9	20	22
HC95	33	84	155	33	80	145
HC96	23	44	46	22	43	36
