#response	predictors	model	trait	metric	eval	l_eval	u_eval	P	split	n	case_n	control_n	n_variables
INI50	PRS_INI50	PRS	INI50	r2	0.292295710916306	0.289407746711625	0.295183675120987	0	train_val	269136	NA	NA	55937
INI50	covar_INI50	covar	INI50	r2	0.535048756202126	0.532481714935622	0.53761579746863	0	train_val	269136	NA	NA	55937
INI50	full_INI50	full	INI50	r2	0.820671084956107	0.819444878371351	0.821897291540862	0	train_val	269136	NA	NA	55937
INI50	PRS_INI50	PRS	INI50	r2	0.176052450461472	0.170833710363275	0.181271190559669	0	test	67298	NA	NA	55937
INI50	covar_INI50	covar	INI50	r2	0.538328837280335	0.533215533018807	0.543442141541862	0	test	67298	NA	NA	55937
INI50	full_INI50	full	INI50	r2	0.715962849343248	0.712334864563852	0.719590834122643	0	test	67298	NA	NA	55937
INI50	PRS_INI50	PRS	INI50	r2	0.184048395958675	0.175354704959948	0.192742086957402	0	non_british_white	24826	NA	NA	55937
INI50	covar_INI50	covar	INI50	r2	0.537014064791595	0.52858781345144	0.54544031613175	0	non_british_white	24826	NA	NA	55937
INI50	full_INI50	full	INI50	r2	0.70024350896178	0.694013811973542	0.706473205950017	0	non_british_white	24826	NA	NA	55937
INI50	PRS_INI50	PRS	INI50	r2	0.0883167921922921	0.0763206674106816	0.100312916973902	8.5081006867468e-156	s_asian	7650	NA	NA	55937
INI50	covar_INI50	covar	INI50	r2	0.583663203138458	0.569580003704975	0.59774640257194	0	s_asian	7650	NA	NA	55937
INI50	full_INI50	full	INI50	r2	0.66335492493131	0.651214870890473	0.675494978972146	0	s_asian	7650	NA	NA	55937
INI50	PRS_INI50	PRS	INI50	r2	0.036068133737085	0.0271700625582572	0.0449662049159127	4.23355396285105e-53	african	6407	NA	NA	55937
INI50	covar_INI50	covar	INI50	r2	0.47620690160205	0.458637971436489	0.493775831767611	0	african	6407	NA	NA	55937
INI50	full_INI50	full	INI50	r2	0.498780421323643	0.481574797314772	0.515986045332514	0	african	6407	NA	NA	55937
INI50	PRS_INI50	PRS	INI50	r2	0.090389278126327	0.0644734317954066	0.116305124457247	8.64551154239979e-37	e_asian	1697	NA	NA	55937
INI50	covar_INI50	covar	INI50	r2	0.542063083391576	0.510112268626183	0.574013898156969	8.97105329482775e-290	e_asian	1697	NA	NA	55937
