id,name
PGS001375,GBE_INI22426
PGS001393,GBE_INI1807
PGS001415,GBE_INI25073
PGS000925,GBE_HC1020
PGS000926,GBE_QT_FC1001220
PGS000928,GBE_HC644
PGS000929,GBE_HC1583
PGS000931,GBE_BIN_FC11006152
PGS000933,GBE_HC1024
PGS001416,GBE_INI25072
PGS000943,GBE_HC1126
PGS000945,GBE_HC710
PGS000946,GBE_HC713
PGS000948,GBE_HC243
PGS000949,GBE_HC1094
PGS000951,GBE_INI3144
PGS000952,GBE_INI3147
PGS000954,GBE_INI4104
PGS000955,GBE_INI4120
PGS000957,GBE_HC932
PGS000958,GBE_HC273
PGS000962,GBE_HC942
PGS000964,GBE_HC176
PGS000965,GBE_HC219
PGS000967,GBE_HC1221
PGS000969,GBE_INI20015
PGS000976,GBE_BIN23066
PGS000977,GBE_BIN23067
PGS000979,GBE_BIN_FC40001448
PGS000980,GBE_BIN_FC40002267
PGS000982,GBE_BIN_FC10002267
PGS000983,GBE_INI1100
PGS000986,GBE_INI1120
PGS000988,GBE_INI30290
PGS000989,GBE_INI30240
PGS000991,GBE_BIN_FC4006144
PGS000992,GBE_QT_FC1001339
PGS000996,GBE_HC262
PGS000997,GBE_HC1106
PGS000999,GBE_QT_FC1001687
PGS001000,GBE_QT_FC1001190
PGS001002,GBE_INI23102
PGS001003,GBE_INI137
PGS001007,GBE_INI2139
PGS001008,GBE_QT_FC1002178
PGS001009,GBE_INI3064
PGS001011,GBE_HC534
PGS001014,GBE_HC654
PGS001015,GBE_HC85
PGS001017,GBE_BIN2010
PGS001019,GBE_BIN_FC20006160
PGS001020,GBE_BIN_FC50006160
PGS001021,GBE_BIN1980
PGS001022,GBE_BIN2000
PGS001025,GBE_HC951
PGS001027,GBE_HC1228
PGS001029,GBE_HC866
PGS001032,GBE_HC31
PGS001033,GBE_HC624
PGS001036,GBE_INI23004
PGS001038,GBE_INI4106
PGS001039,GBE_INI4125
PGS001041,GBE_cancer1003
PGS001042,GBE_HC645
PGS001045,GBE_BIN_FC6006155
PGS001049,GBE_BIN2040
PGS001051,GBE_HC96
PGS001052,GBE_INI1050
PGS001054,GBE_BIN1210
PGS001056,GBE_QT_FC1001369
PGS001057,GBE_INI1458
PGS001059,GBE_BIN_FC50001468
PGS001060,GBE_QT_FC1001408
PGS001062,GBE_INI1309
PGS001068,GBE_INI1548
PGS001069,GBE_INI1528
PGS001071,GBE_BIN_FC30001757
PGS001072,GBE_BIN_FC20001757
PGS001073,GBE_INI874
PGS001075,GBE_INI924
PGS001076,GBE_INI30210
PGS001078,GBE_INI30190
PGS001080,GBE_QT_FC1002080
PGS001081,GBE_INI23027
PGS001087,GBE_QT_FC1001558
PGS001088,GBE_INI1588
PGS001090,GBE_BIN_FC40020489
PGS001091,GBE_BIN2020
PGS001093,GBE_BIN_FC1001747
PGS001094,GBE_BIN_FC7001747
PGS001096,GBE_BIN_FC3001747
PGS001097,GBE_BIN_FC6001747
PGS001102,GBE_INI23123
PGS001105,GBE_INI23127
PGS001107,GBE_BIN30030510
PGS001108,GBE_INI23105
PGS001110,GBE_HC1209
PGS001112,GBE_BIN_FC1006154
PGS001115,GBE_BIN_FC9006154
PGS001116,GBE_BIN_FC2006154
PGS001119,GBE_INI46
PGS001124,GBE_BIN_FC30001508
PGS001670,GBE_INI25661
PGS001127,GBE_BIN_FC10020116
PGS001129,GBE_BIN_FC30022506
PGS001130,GBE_INI2887
PGS001132,GBE_FH1113
PGS001133,GBE_INI4079
PGS001139,GBE_BIN_FC10002644
PGS001140,GBE_HC1190
PGS001142,GBE_INI25829
PGS001143,GBE_INI25867
PGS001145,GBE_INI23120
PGS001148,GBE_INI23128
PGS001149,GBE_INI23100
PGS001152,GBE_INI30070
PGS001158,GBE_INI23118
PGS001159,GBE_INI23114
PGS001161,GBE_INI23106
PGS001162,GBE_INI49
PGS001164,GBE_cancer1045
PGS001165,GBE_INI23125
PGS001167,GBE_INI23113
PGS001179,GBE_HC711
PGS001180,GBE_INI1003063
PGS001182,GBE_BIN10030800
PGS001185,GBE_INI5255
PGS001200,GBE_INI30100
PGS001218,GBE_INI30060
PGS001219,GBE_INI30050
PGS001225,GBE_INI30030
PGS001231,GBE_INI20191
PGS001233,GBE_INI102
PGS001234,GBE_INI23126
PGS001236,GBE_INI3063
PGS001237,GBE_INI3062
PGS001239,GBE_INI30000
PGS001240,GBE_INI30010
PGS001242,GBE_INI4100
PGS001243,GBE_INI4119
PGS001248,GBE_HC328
PGS001417,GBE_INI25059
PGS001251,GBE_HC1052
PGS001252,GBE_BIN_FC3002247
PGS001254,GBE_HC177
PGS001255,GBE_HC914
PGS001257,GBE_INI1737
PGS001258,GBE_HC57
PGS001260,GBE_HC132
PGS001261,GBE_HC937
PGS001264,GBE_HC166
PGS001265,GBE_BIN_FC6006152
PGS001268,GBE_HC1242
PGS001270,GBE_HC151
PGS001271,GBE_HC810
PGS001273,GBE_HC22
PGS001276,GBE_HC881
PGS001277,GBE_HC203
PGS001280,GBE_HC943
PGS001282,GBE_HC815
PGS001285,GBE_BIN_FC5006152
PGS001287,GBE_HC91
PGS001288,GBE_HC95
PGS001290,GBE_HC376
PGS001291,GBE_cancer1044
PGS001293,GBE_HC1123
PGS001294,GBE_HC649
