Polygenic Score (PGS) ID	PGS Name	Reported Trait	Mapped Trait(s) (EFO label)	Mapped Trait(s) (EFO ID)	PGS Development Method	PGS Development Details/Relevant Parameters	Original Genome Build	Number of Variants	Number of Interaction Terms	PGS Publication (PGP) ID	Publication (PMID)	Publication (doi)	Score and results match the original publication	Ancestry Distribution (%) - Source of Variant Associations (GWAS)	Ancestry Distribution (%) - Score Development/Training	Ancestry Distribution (%) - PGS Evaluation	FTP link	License/Terms of Use
PGS000970	GBE_INI30670	Urea	urea measurement	EFO_0011005	snpnet	NA	GRCh37	9808	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000970/ScoringFiles/PGS000970.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS000971	GBE_INI10030670	Urea	urea measurement	EFO_0011005	snpnet	NA	GRCh37	10852	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000971/ScoringFiles/PGS000971.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS000973	GBE_INI10030500	Microalbumin in urine	urinary microalbumin measurement	EFO_0010967	snpnet	NA	GRCh37	51	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000973/ScoringFiles/PGS000973.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS000974	GBE_INI30520	Potassium in urine	urinary potassium measurement	EFO_0010952	snpnet	NA	GRCh37	213	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000974/ScoringFiles/PGS000974.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS000975	GBE_INI30030650	Aspartate aminotransferase to alanine aminotransferase ratio	aspartate aminotransferase to alanine aminotransferase ratio	EFO_0010934	snpnet	NA	GRCh37	13625	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000975/ScoringFiles/PGS000975.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS001035	GBE_INI10030530	Urinary sodium excretion	urinary metabolite measurement	EFO_0005116	snpnet	NA	GRCh37	5217	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001035/ScoringFiles/PGS001035.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS001083	GBE_INI30510	Creatinine (enzymatic) in urine	creatinine clearance measurement	EFO_0007934	snpnet	NA	GRCh37	3164	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001083/ScoringFiles/PGS001083.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS001084	GBE_INI10030510	Creatinine in urine	creatinine clearance measurement	EFO_0007934	snpnet	NA	GRCh37	4291	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001084/ScoringFiles/PGS001084.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS001121	GBE_INI30790	Lipoprotein A	lipoprotein A measurement	EFO_0006925	snpnet	NA	GRCh37	2861	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001121/ScoringFiles/PGS001121.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS001122	GBE_INI10030790	Lipoprotein A	lipoprotein A measurement	EFO_0006925	snpnet	NA	GRCh37	7148	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001122/ScoringFiles/PGS001122.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS001151	GBE_INI30030700	Estimated glomerular filtration rate	glomerular filtration rate	EFO_0005208	snpnet	NA	GRCh37	17436	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001151/ScoringFiles/PGS001151.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS001170	GBE_INI10030850	Testosterone	testosterone measurement	EFO_0004908	snpnet	NA	GRCh37	6250	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001170/ScoringFiles/PGS001170.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS001171	GBE_INI30850	Testosterone levels	testosterone measurement	EFO_0004908	snpnet	NA	GRCh37	6647	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001171/ScoringFiles/PGS001171.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS001175	GBE_INI30650	Aspartate aminotransferase	aspartate aminotransferase measurement	EFO_0004736	snpnet	NA	GRCh37	5729	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001175/ScoringFiles/PGS001175.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS001176	GBE_INI10030650	Aspartate aminotransferase	aspartate aminotransferase measurement	EFO_0004736	snpnet	NA	GRCh37	10612	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001176/ScoringFiles/PGS001176.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS001177	GBE_INI30620	Alanine aminotransferase	serum alanine aminotransferase measurement	EFO_0004735	snpnet	NA	GRCh37	7477	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001177/ScoringFiles/PGS001177.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS001178	GBE_INI10030620	Alanine aminotransferase	serum alanine aminotransferase measurement	EFO_0004735	snpnet	NA	GRCh37	9665	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001178/ScoringFiles/PGS001178.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS001183	GBE_INI30830	SHBG	sex hormone-binding globulin measurement	EFO_0004696	snpnet	NA	GRCh37	11879	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001183/ScoringFiles/PGS001183.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
PGS001184	GBE_INI10030830	SHBG	sex hormone-binding globulin measurement	EFO_0004696	snpnet	NA	GRCh37	18225	0	PGP000244	NA	10.1101/2021.09.02.21262942	TRUE	NA	European:100	European:40|African:20|East Asian:20|South Asian:20	http://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001184/ScoringFiles/PGS001184.txt.gz	PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.
