associated_score_name	sample_set	trait_name	AUROC	R2	other_mterics	covariates
GBE_cancer1002	cancer1002_test	Breast cancer	0.59627 [0.58498, 0.60756]		Nagelkerke's R2 = 0.01602, Tjur's R2 = 0.00459	
GBE_cancer1002	cancer1002_test	Breast cancer	0.80961 [0.80348, 0.81573]		Incremental AUROC (full-covars) = 0.02139, Nagelkerke's R2 = 0.18940, Tjur's R2 = 0.04741	age, sex, UKB array type, Genotype PCs
GBE_cancer1002	cancer1002_non_british_white	Breast cancer	0.58544 [0.56669, 0.60420]		Nagelkerke's R2 = 0.01264, Tjur's R2 = 0.00377	
GBE_cancer1002	cancer1002_non_british_white	Breast cancer	0.80561 [0.79545, 0.81577]		Incremental AUROC (full-covars) = 0.01345, Nagelkerke's R2 = 0.18447, Tjur's R2 = 0.04876	age, sex, UKB array type, Genotype PCs
GBE_cancer1002	cancer1002_s_asian	Breast cancer	0.57250 [0.52745, 0.61755]		Nagelkerke's R2 = 0.00739, Tjur's R2 = 0.00138	
GBE_cancer1002	cancer1002_s_asian	Breast cancer	0.83564 [0.81289, 0.85838]		Incremental AUROC (full-covars) = 0.00869, Nagelkerke's R2 = 0.18535, Tjur's R2 = 0.03732	age, sex, UKB array type, Genotype PCs
GBE_cancer1002	cancer1002_e_asian	Breast cancer	0.59411 [0.51563, 0.67258]		Nagelkerke's R2 = 0.01507, Tjur's R2 = 0.00427	
GBE_cancer1002	cancer1002_e_asian	Breast cancer	0.76020 [0.71475, 0.80565]		Incremental AUROC (full-covars) = 0.01509, Nagelkerke's R2 = 0.14344, Tjur's R2 = 0.02962	age, sex, UKB array type, Genotype PCs
GBE_cancer1002	cancer1002_african	Breast cancer	0.56918 [0.51783, 0.62054]		Nagelkerke's R2 = 0.00598, Tjur's R2 = 0.00114	
GBE_cancer1002	cancer1002_african	Breast cancer	0.79293 [0.76728, 0.81858]		Incremental AUROC (full-covars) = 0.01474, Nagelkerke's R2 = 0.15047, Tjur's R2 = 0.02380	age, sex, UKB array type, Genotype PCs
GBE_cancer1003	cancer1003_test	Skin cancer	0.63289 [0.62459, 0.64118]		Nagelkerke's R2 = 0.03573, Tjur's R2 = 0.01538	
GBE_cancer1003	cancer1003_test	Skin cancer	0.69350 [0.68584, 0.70116]		Incremental AUROC (full-covars) = 0.04393, Nagelkerke's R2 = 0.07834, Tjur's R2 = 0.03436	age, sex, UKB array type, Genotype PCs
GBE_cancer1003	cancer1003_non_british_white	Skin cancer	0.65086 [0.63722, 0.66450]		Nagelkerke's R2 = 0.04566, Tjur's R2 = 0.01939	
GBE_cancer1003	cancer1003_non_british_white	Skin cancer	0.71667 [0.70431, 0.72902]		Incremental AUROC (full-covars) = 0.03439, Nagelkerke's R2 = 0.09613, Tjur's R2 = 0.04176	age, sex, UKB array type, Genotype PCs
GBE_cancer1003	cancer1003_s_asian	Skin cancer	0.49291 [0.37897, 0.60686]		Nagelkerke's R2 = 0.00006, Tjur's R2 = 0.00000	
