Polygenic Score (PGS) ID	PGS Name	Reported Trait	URL	Mapped Trait(s) (EFO ID)	PGS Development Method	Score Development Details	Original Genome Build	Number of variants	Number of interaction terms
PGS001336	GBE_cancer1002	Breast cancer	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/cancer1002	EFO_0000305	snpnet		GRCh37	555	0
PGS001041	GBE_cancer1003	Skin cancer	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/cancer1003	EFO_0009259	snpnet		GRCh37	1298	0
PGS001111	GBE_cancer1038	Male genital tract cancer	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/cancer1038	EFO_0007355	snpnet		GRCh37	313	0
PGS001299	GBE_cancer1041	Cervical cancer	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/cancer1041	EFO_0001061	snpnet		GRCh37	24	0
PGS001291	GBE_cancer1044	Prostate cancer	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/cancer1044	EFO_0001663	snpnet		GRCh37	948	0
PGS001164	GBE_cancer1045	Testicular cancer	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/cancer1045	EFO_0005088	snpnet		GRCh37	280	0
PGS001304	GBE_cancer1059	Malignant melanoma	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/cancer1059	EFO_0000756	snpnet		GRCh37	116	0
PGS001040	GBE_cancer1060	Non-melanoma skin cancer	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/cancer1060	EFO_0009260	snpnet		GRCh37	1610	0
PGS001289	GBE_cancer1065	Thyroid cancer	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/cancer1065	EFO_0002892	snpnet		GRCh37	11	0
PGS000925	GBE_HC1020	TTE unspecified acute lower respiratory infection	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1020	MONDO_0024355	snpnet		GRCh37	402	0
PGS001109	GBE_HC1021	TTE vasomotor and allergic rhinitis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1021	EFO_0007533|EFO_0005854	snpnet		GRCh37	1910	0
PGS000933	GBE_HC1024	TTE nasal polyp	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1024	HP_0100582	snpnet		GRCh37	433	0
PGS001334	GBE_HC1035	TTE other chronic obstructive pulmonary disease	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1035	EFO_0000341	snpnet		GRCh37	498	0
PGS001346	GBE_HC1036	TTE asthma	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1036	EFO_0000270	snpnet		GRCh37	8508	0
PGS001251	GBE_HC1052	TTE other interstitial pulmonary diseases	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1052	EFO_0004244	snpnet		GRCh37	57	0
	GBE_HC1084	TTE duodenal ulcer	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1084		snpnet		GRCh37	220	0
	GBE_HC1090	TTE acute appendicitis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1090		snpnet		GRCh37	4	0
PGS000949	GBE_HC1094	TTE inguinal hernia	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1094	HP_0000023	snpnet		GRCh37	3085	0
PGS001050	GBE_HC1098	TTE diaphragmatic hernia	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1098	EFO_0008561	snpnet		GRCh37	1857	0
PGS001330	GBE_HC1101	TTE crohn's disease [regional enteritis]	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1101	EFO_0000384	snpnet		GRCh37	220	0
PGS001307	GBE_HC1102	TTE ulcerative colitis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1102	EFO_0000729	snpnet		GRCh37	809	0
PGS000997	GBE_HC1106	TTE diverticular disease of intestine	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1106	EFO_0009959	snpnet		GRCh37	5757	0
	GBE_HC1112	TTE other diseases of intestine	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1112		snpnet		GRCh37	90	0
PGS001293	GBE_HC1123	TTE other diseases of liver	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1123	EFO_0001421	snpnet		GRCh37	92	0
PGS001174	GBE_HC1125	TTE cholelithiasis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1125	EFO_0004799	snpnet		GRCh37	970	0
PGS000943	GBE_HC1126	TTE cholecystitis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1126	HP_0001082	snpnet		GRCh37	5	0
PGS000940	GBE_HC1132	TTE intestinal malabsorption	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1132	HP_0002024	snpnet		GRCh37	443	0
PGS000927	GBE_HC1158	TTE other dermatitis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1158	MONDO_0002406	snpnet		GRCh37	242	0
PGS001313	GBE_HC1159	TTE psoriasis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1159	EFO_0000676	snpnet		GRCh37	578	0
PGS000950	GBE_HC1171	TTE skin changes due to chronic exposure to nonionising radiation	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1171	GO_0009314	snpnet		GRCh37	169	0
PGS000963	GBE_HC1184	TTE follicular cysts of skin and subcutaneous tissue	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1184	EFO_1001329	snpnet		GRCh37	264	0
	GBE_HC1188	TTE vitiligo	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1188		snpnet		GRCh37	77	0
PGS001140	GBE_HC1190	TTE seborrhoeic keratosis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1190	EFO_0005584	snpnet		GRCh37	1368	0
PGS001110	GBE_HC1209	TTE reactive arthropathies	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1209	EFO_0007460	snpnet		GRCh37	6	0
PGS001311	GBE_HC1211	TTE seropositive rheumatoid arthritis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1211	EFO_0000685	snpnet		GRCh37	3	0
PGS001309	GBE_HC1212	TTE other rheumatoid arthritis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1212	EFO_0000685	snpnet		GRCh37	323	0
	GBE_HC1213	TTE psoriatic and enteropathic arthropathies	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1213		snpnet		GRCh37	17	0
PGS001249	GBE_HC1215	TTE gout	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1215	EFO_0004274	snpnet		GRCh37	1796	0
PGS000967	GBE_HC1221	TTE coxarthrosis [arthrosis of hip]	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1221	EFO_1000786	snpnet		GRCh37	634	0
PGS001192	GBE_HC1222	TTE gonarthrosis [arthrosis of knee]	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1222	EFO_0004616	snpnet		GRCh37	4525	0
PGS001027	GBE_HC1228	TTE internal derangement of knee	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1228	EFO_0009507	snpnet		GRCh37	118	0
PGS000960	GBE_HC1236	TTE other systemic involvement of connective tissue	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1236	EFO_1001986	snpnet		GRCh37	79	0
PGS001268	GBE_HC1242	TTE ankylosing spondylitis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1242	EFO_0003898	snpnet		GRCh37	10	0
PGS000932	GBE_HC1248	TTE other intervertebral disk disorders	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1248	MONDO_0000812	snpnet		GRCh37	111	0
PGS001031	GBE_HC1261	TTE fibroblastic disorders	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1261	EFO_0009432	snpnet		GRCh37	252	0
PGS001274	GBE_HC1268	TTE osteoporosis without pathological fracture	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1268	EFO_0003882	snpnet		GRCh37	1270	0
PGS001272	GBE_HC1302	TTE chronic renal failure	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1302	EFO_0003884	snpnet		GRCh37	158	0
PGS001250	GBE_HC1304	TTE calculus of kidney and ureter	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1304	EFO_0004253|EFO_1001228	snpnet		GRCh37	341	0
PGS001260	GBE_HC132	Angina	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC132	EFO_0003913	snpnet		GRCh37	2562	0
PGS001338	GBE_HC1322	TTE hyperplasia of prostate	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1322	EFO_0000284	snpnet		GRCh37	1223	0
PGS000959	GBE_HC136	Connective tissue disorder	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC136	EFO_1001986	snpnet		GRCh37	16	0
