#trait	trait_name	trait_category	trait_category_plot	family
cancer1001	Lung cancer	Cancer	Cancer	binomial
cancer1002	Breast cancer	Cancer	Cancer	binomial
cancer1003	Skin cancer	Cancer	Cancer	binomial
cancer1005	Salivary gland cancer	Cancer	Cancer	binomial
cancer1018	Stomach cancer	Cancer	Cancer	binomial
cancer1024	Liver/hepatocellular cancer	Cancer	Cancer	binomial
cancer1025	Gallbladder/bile duct cancer	Cancer	Cancer	binomial
cancer1035	Bladder cancer	Cancer	Cancer	binomial
cancer1037	Female genital tract cancer	Cancer	Cancer	binomial
cancer1038	Male genital tract cancer	Cancer	Cancer	binomial
cancer1041	Cervical cancer	Cancer	Cancer	binomial
cancer1043	Vulval cancer	Cancer	Cancer	binomial
cancer1044	Prostate cancer	Cancer	Cancer	binomial
cancer1045	Testicular cancer	Cancer	Cancer	binomial
cancer1059	Malignant melanoma	Cancer	Cancer	binomial
cancer1060	Non-melanoma skin cancer	Cancer	Cancer	binomial
cancer1065	Thyroid cancer	Cancer	Cancer	binomial
cancer1068	Sarcoma/fibrosarcoma	Cancer	Cancer	binomial
cancer1074	Acute myeloid leukaemia	Cancer	Cancer	binomial
HC1001	TTE acute nasopharyngitis [common cold]	Disease_outcome	Disease outcome	binomial
HC1005	TTE acute laryngitis and tracheitis	Disease_outcome	Disease outcome	binomial
HC1007	TTE acute upper respiratory infections of multiple and unspecified sites	Disease_outcome	Disease outcome	binomial
HC1012	TTE pneumonia due to streptococcus pneumoniae	Disease_outcome	Disease outcome	binomial
HC1013	TTE pneumonia due to haemophilus influenzae	Disease_outcome	Disease outcome	binomial
HC1014	TTE bacterial pneumonia, not elsewhere classified	Disease_outcome	Disease outcome	binomial
HC1017	TTE pneumonia, organism unspecified	Disease_outcome	Disease outcome	binomial
HC102	Vertigo	Disease_outcome	Disease outcome	binomial
HC1020	TTE unspecified acute lower respiratory infection	Disease_outcome	Disease outcome	binomial
HC1021	TTE vasomotor and allergic rhinitis	Disease_outcome	Disease outcome	binomial
HC1023	TTE chronic sinusitis	Disease_outcome	Disease outcome	binomial
HC1024	TTE nasal polyp	Disease_outcome	Disease outcome	binomial
HC1027	TTE peritonsillar abscess	Disease_outcome	Disease outcome	binomial
HC1028	TTE chronic laryngitis and laryngotracheitis	Disease_outcome	Disease outcome	binomial
HC1029	TTE diseases of vocal cords and larynx, not elsewhere classified	Disease_outcome	Disease outcome	binomial
HC103	Thyroid goitre	Disease_outcome	Disease outcome	binomial
HC1031	TTE bronchitis, not specified as acute or chronic	Disease_outcome	Disease outcome	binomial
HC1033	TTE unspecified chronic bronchitis	Disease_outcome	Disease outcome	binomial
HC1034	TTE emphysema	Disease_outcome	Disease outcome	binomial
HC1035	TTE other chronic obstructive pulmonary disease	Disease_outcome	Disease outcome	binomial
HC1036	TTE asthma	Disease_outcome	Disease outcome	binomial
HC1038	TTE bronchiectasis	Disease_outcome	Disease outcome	binomial
HC1040	TTE pneumoconiosis due to asbestos and other mineral fibres	Disease_outcome	Disease outcome	binomial
