#trait	trait_name	trait_category	trait_category_plot	family	pred_PRS	pred_covar	pred_full	pred_delta	n_variables	WBtest_P	WBtest_BYq	WBtest_is_significant	WBtest_BHq	trait_label	PGScatalog_ID	EFO_ID	EFO_label
cancer1001	Lung cancer	Cancer	Cancer	binomial	0.000873674286780252	0.0469747315626372	0.0476800870833564	0.000705355520719202	37	0.0272600134707918	0.346057809754033	FALSE	0.0436215961981484	Lung cancer (cancer1001)			
cancer1002	Breast cancer	Cancer	Cancer	binomial	0.0160182584659577	0.174017094363502	0.189400776407519	0.015383682044017	555	1.81388147437432e-65	8.86618179715791e-64	TRUE	1.11760807377788e-64	Breast cancer (cancer1002)	PGS001336	EFO_0000305	breast carcinoma
cancer1003	Skin cancer	Cancer	Cancer	binomial	0.0357267230804894	0.0444250209291997	0.0783433658328268	0.0339183449036271	1298	2.55348166576939e-208	1.86485584448173e-206	TRUE	2.35070518054653e-207	Skin cancer (cancer1003)	PGS001041	EFO_0009259	skin carcinoma
cancer1005	Salivary gland cancer	Cancer	Cancer	binomial	0.000477242077070475	0.00605801338969277	0.00643346051147858	0.00037544712178581	35	0.651330924076211	1	FALSE	0.733860976370965	Salivary gland cancer (cancer1005)			
cancer1018	Stomach cancer	Cancer	Cancer	binomial	0.0002081745691823	0.0325197590068707	0.032684764490176	0.000165005483305301	23	0.531760662239006	1	FALSE	0.635756635908361	Stomach cancer (cancer1018)			
cancer1024	Liver/hepatocellular cancer	Cancer	Cancer	binomial	0.0012637955204293	0.0277114733025873	0.0268301923619706	-0.000881280940616701	4	0.134096722780923	1	FALSE	0.195038449026157	Liver/hepatocellular cancer (cancer1024)			
cancer1025	Gallbladder/bile duct cancer	Cancer	Cancer	binomial	1.65464480620713e-05	0.023386993717501	0.0231003225392883	-0.0002866711782127	5	0.906676943529023	1	FALSE	0.939701600412531	Gallbladder/bile duct cancer (cancer1025)			
cancer1035	Bladder cancer	Cancer	Cancer	binomial	0.00289829182871615	0.0740682656498911	0.075302507296764	0.00123424164687291	5	0.000107484512807162	0.0015924408767845	FALSE	0.000200731816877337	Bladder cancer (cancer1035)			
cancer1037	Female genital tract cancer	Cancer	Cancer	binomial	0.00103143987246153	0.128319607687336	0.12935618774884	0.00103658006150401	106	0.00158343384529342	0.0222135564746155	FALSE	0.00280008357953017	Female genital tract cancer (cancer1037)			
cancer1038	Male genital tract cancer	Cancer	Cancer	binomial	0.0080434769605974	0.181205412540458	0.188605855760003	0.007400443219545	313	1.8466789705874e-15	4.11621121742818e-14	TRUE	5.18860428899332e-15	Male genital tract cancer (cancer1038)	PGS001111	EFO_0007355	male reproductive organ cancer
cancer1041	Cervical cancer	Cancer	Cancer	binomial	0.00294324800532398	0.114405805130368	0.116521166771806	0.00211536164143801	24	2.03722483051525e-05	0.000313032221677989	TRUE	3.94586245019352e-05	Cervical cancer (cancer1041)	PGS001299	EFO_0001061	cervical carcinoma
cancer1043	Vulval cancer	Cancer	Cancer	binomial	1.34738695302578e-05	0.0761528296744471	0.0761409209908955	-1.19086835515952e-05	1	0.935228875266023	1	FALSE	0.956880838219425	Vulval cancer (cancer1043)			
cancer1044	Prostate cancer	Cancer	Cancer	binomial	0.0294244536636915	0.243732229278938	0.2723439719122	0.028611742633262	948	8.85819175051826e-87	4.69992213708137e-85	TRUE	5.92438892716285e-86	Prostate cancer (cancer1044)	PGS001291	EFO_0001663	prostate carcinoma
cancer1045	Testicular cancer	Cancer	Cancer	binomial	0.0157330186810312	0.114205209860626	0.129103164397399	0.014897954536773	280	5.35878272172791e-08	9.33121211841158e-07	TRUE	1.17622650203425e-07	Testicular cancer (cancer1045)	PGS001164	EFO_0005088	testicular carcinoma
cancer1059	Malignant melanoma	Cancer	Cancer	binomial	0.00707407881066729	0.00724176551329398	0.0134777219448968	0.00623595643160282	116	3.4683864749028e-16	7.87229936800408e-15	TRUE	9.92326294921916e-16	Malignant melanoma (cancer1059)	PGS001304	EFO_0000756	melanoma
cancer1060	Non-melanoma skin cancer	Cancer	Cancer	binomial	0.0394894162357846	0.04851666319936	0.0861475787803782	0.0376309155810182	1610	2.06325479545644e-215	1.53390278319974e-213	TRUE	1.93352919454451e-214	Non-melanoma skin cancer (cancer1060)	PGS001040	EFO_0009260	non-melanoma skin carcinoma
cancer1065	Thyroid cancer	Cancer	Cancer	binomial	0.0123637322763197	0.010524067009784	0.0159967167434499	0.0054726497336659	11	1.0694973349057e-05	0.000166394228634204	TRUE	2.09744778086143e-05	Thyroid cancer (cancer1065)	PGS001289	EFO_0002892	thyroid carcinoma
cancer1068	Sarcoma/fibrosarcoma	Cancer	Cancer	binomial	0.00129486762966383	7.68990059950677e-05	0.000417948872396022	0.000341049866400954	6	0.343787419390236	1	FALSE	0.442456670514572	Sarcoma/fibrosarcoma (cancer1068)			
cancer1074	Acute myeloid leukaemia	Cancer	Cancer	binomial	0.000186014267038021	0.00817051396697113	0.00786395884622819	-0.00030655512074294	3	0.619098169320255	1	FALSE	0.7051591229885	Acute myeloid leukaemia (cancer1074)			
HC1001	TTE acute nasopharyngitis [common cold]	Disease_outcome	Disease outcome	binomial	2.02150221037799e-05	0.0061826578589308	0.00620290950427672	2.02516453459197e-05	5	0.693527734569745	1	FALSE	0.768676278046495	TTE acute nasopharyngitis [common cold] (HC1001)			
HC1005	TTE acute laryngitis and tracheitis	Disease_outcome	Disease outcome	binomial	0.000415581911415929	0.037895894649388	0.0380728569649331	0.0001769623155451	8	0.087105269259692	1	FALSE	0.131455878873113	TTE acute laryngitis and tracheitis (HC1005)			
HC1007	TTE acute upper respiratory infections of multiple and unspecified sites	Disease_outcome	Disease outcome	binomial	6.91356758276972e-06	0.0165405447029013	0.0165518437422257	1.12990393244007e-05	17	0.634320022148143	1	FALSE	0.718314641578758	TTE acute upper respiratory infections of multiple and unspecified sites (HC1007)			
